Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Garrett,2026-04-01 00:00 UTC,57.9,63.4,52.7,19,37.4,16.1,62
MedHab,Garrett,2026-04-01 01:00 UTC,57.3,64.2,53.5,17.9,34.3,15.9,62
MedHab,Garrett,2026-04-01 02:00 UTC,58.2,63.7,53.5,16.9,18.7,15.5,61
MedHab,Garrett,2026-04-01 03:00 UTC,65,74.5,55.2,18.4,33.2,15.7,62
MedHab,Garrett,2026-04-01 04:00 UTC,62.3,68.5,56.2,19.2,23,16.1,62
MedHab,Garrett,2026-04-01 05:00 UTC,66.2,75.3,58.9,16.4,19,14.3,61
MedHab,Garrett,2026-04-01 06:00 UTC,63.5,71.7,57.5,16.2,17.2,14.4,62
MedHab,Garrett,2026-04-01 07:00 UTC,60.7,72.5,56.6,17.2,19.6,14.4,61
MedHab,Garrett,2026-04-01 08:00 UTC,66.3,74.7,61.2,16.3,18.4,13.6,62
MedHab,Garrett,2026-04-01 09:00 UTC,60.4,64.1,56.1,16.9,19.3,14.5,61
MedHab,Garrett,2026-04-01 10:00 UTC,59.2,63.7,55.6,15.9,18.7,12.2,61
MedHab,Garrett,2026-04-01 11:00 UTC,61.2,72.7,55.5,16.9,18.5,14.1,62
MedHab,Garrett,2026-04-01 12:00 UTC,63.6,70.8,55,16.2,18.7,14.3,61
MedHab,Garrett,2026-04-01 13:00 UTC,64.7,68.7,59.1,16.6,20.8,13.3,62
MedHab,Garrett,2026-04-01 14:00 UTC,63.1,67.2,59.9,16.7,19.4,13.8,61
MedHab,Garrett,2026-04-01 15:00 UTC,60.7,63,57.8,16.5,18.6,13.1,62
MedHab,Garrett,2026-04-01 16:00 UTC,58.6,63.4,54.2,16.8,22.3,13.1,62
MedHab,Garrett,2026-04-01 17:00 UTC,59.7,67.9,54.1,18.6,24.8,15.3,62
MedHab,Garrett,2026-04-01 18:00 UTC,59.2,64,54.4,18.3,20.2,14.8,61
MedHab,Garrett,2026-04-01 19:00 UTC,57.2,63.1,52.7,17.6,20.3,13.7,62
MedHab,Garrett,2026-04-01 20:00 UTC,56.5,60.8,52.9,18.2,20.5,14,62
MedHab,Garrett,2026-04-01 21:00 UTC,56.5,59.7,51.8,18,20.5,13.9,62
MedHab,Garrett,2026-04-01 22:00 UTC,60.2,63.7,57.2,19.4,32.6,16.6,60
MedHab,Garrett,2026-04-01 23:00 UTC,61.5,68.8,57.2,19.5,24,16.4,62
MedHab,Garrett,2026-04-02 00:00 UTC,59.3,63.9,54.6,19.1,24.5,15.8,62
MedHab,Garrett,2026-04-02 01:00 UTC,62.3,69.5,53.9,18.7,20.2,16.8,60
MedHab,Garrett,2026-04-02 02:00 UTC,68.6,77.6,63.5,18.7,19.8,17.5,62
