Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Harris,2026-04-01 00:00 UTC,79.5,87.9,68.7,22.8,44,16.6,61
MedHab,Harris,2026-04-01 01:00 UTC,82.3,93.2,71,20.9,37.6,16.3,62
MedHab,Harris,2026-04-01 02:00 UTC,84.5,99.5,75.2,19.9,36.8,15,60
MedHab,Harris,2026-04-01 03:00 UTC,73.8,86,60.4,16.2,20.1,14,62
MedHab,Harris,2026-04-01 04:00 UTC,69.9,91,58.1,16.5,28,13.5,60
MedHab,Harris,2026-04-01 05:00 UTC,82.8,88.2,73.3,17.7,32.3,13.4,62
MedHab,Harris,2026-04-01 06:00 UTC,82.4,91.4,74.6,17.6,28.6,13.9,61
MedHab,Harris,2026-04-01 07:00 UTC,83.1,92.3,64.7,19.7,24.9,15.4,61
MedHab,Harris,2026-04-01 08:00 UTC,83.6,96,69.8,17.8,23.9,14.1,61
MedHab,Harris,2026-04-01 09:00 UTC,83.8,89.5,75.4,16.6,24.6,14.1,61
MedHab,Harris,2026-04-01 10:00 UTC,81.3,85.3,71.6,15.8,20,13.9,62
MedHab,Harris,2026-04-01 11:00 UTC,83,88.9,71.9,18.5,21.7,15.1,62
MedHab,Harris,2026-04-01 12:00 UTC,82.4,88.5,77,19.4,25,16.9,61
MedHab,Harris,2026-04-01 13:00 UTC,77.9,87.3,61.3,19.6,26.9,14.5,62
MedHab,Harris,2026-04-01 14:00 UTC,83.8,97.9,60.2,20,38.3,15.4,60
MedHab,Harris,2026-04-01 15:00 UTC,72.7,88.5,56.4,20.1,28,16.1,62
MedHab,Harris,2026-04-01 16:00 UTC,79.1,90,70.7,20.3,25.5,17.6,62
MedHab,Harris,2026-04-01 17:00 UTC,79,94,71,20.7,27.4,15.6,62
MedHab,Harris,2026-04-01 18:00 UTC,88.5,93.4,80.2,21.7,39.1,15.3,61
MedHab,Harris,2026-04-01 19:00 UTC,91.1,97.4,84.6,19.9,26.5,15.9,62
MedHab,Harris,2026-04-01 20:00 UTC,61.5,91.2,49.8,21.4,38.5,16,61
MedHab,Harris,2026-04-01 21:00 UTC,71.4,86.7,59.2,22.1,38.4,16.7,60
MedHab,Harris,2026-04-01 22:00 UTC,64,85.1,57.5,19.3,29.5,15.2,60
MedHab,Harris,2026-04-01 23:00 UTC,80.4,93.9,68.6,21.5,39.5,14.9,61
MedHab,Harris,2026-04-02 00:00 UTC,85.2,94.4,74.6,20.3,36.6,14.3,62
MedHab,Harris,2026-04-02 01:00 UTC,84.9,94.4,78.7,19.5,39.8,14.4,61
MedHab,Harris,2026-04-02 02:00 UTC,72.5,85.6,59.8,16.5,26.7,13.8,60
MedHab,Harris,2026-04-02 03:00 UTC,73.7,86.4,63.4,16.3,20.6,13.9,61
MedHab,Harris,2026-04-02 04:00 UTC,69.3,81.7,61.4,16.1,19.1,13.6,62
MedHab,Harris,2026-04-02 05:00 UTC,77.8,87.3,66.9,15.3,22.2,13.4,61
MedHab,Harris,2026-04-02 06:00 UTC,70.2,87.4,60.4,15.5,22.2,13.2,61
MedHab,Harris,2026-04-02 07:00 UTC,79.2,87.3,68.4,15.8,19.8,13.4,60
MedHab,Harris,2026-04-02 08:00 UTC,80.7,88,75.4,16.1,19.3,13.7,62
MedHab,Harris,2026-04-02 09:00 UTC,70,78.2,64.7,15.9,21.3,13.5,61
MedHab,Harris,2026-04-02 10:00 UTC,71.9,84.3,63.4,17.7,28.4,13.7,61
MedHab,Harris,2026-04-02 11:00 UTC,75.4,89.9,62.9,18.9,28.8,13.6,62
MedHab,Harris,2026-04-02 12:00 UTC,66.3,73.7,59.4,17.8,20.6,13.9,61
MedHab,Harris,2026-04-02 13:00 UTC,75.7,99.2,56.9,18,22.9,13.4,61
MedHab,Harris,2026-04-02 14:00 UTC,68.9,86.1,51.2,19,23.2,13.7,62
MedHab,Harris,2026-04-02 15:00 UTC,83,93.7,65.7,19.2,22.3,16.4,61
MedHab,Harris,2026-04-02 16:00 UTC,83.2,92.2,72.5,19.1,24.2,15.2,61
MedHab,Harris,2026-04-02 17:00 UTC,83.4,94.2,70.9,18.7,24.2,14.2,62
MedHab,Harris,2026-04-02 18:00 UTC,91.4,100.1,74.9,20.9,40,15.2,61
MedHab,Harris,2026-04-02 19:00 UTC,86.7,101.4,69.4,19.7,30.4,12.9,62
MedHab,Harris,2026-04-02 20:00 UTC,88.4,95.7,70.1,18.8,22.5,15.6,61
MedHab,Harris,2026-04-02 21:00 UTC,89.8,100,63.2,22.6,35.5,18.9,61
MedHab,Harris,2026-04-02 22:00 UTC,77.3,97.8,58.6,22.4,37.2,15.3,61
MedHab,Harris,2026-04-02 23:00 UTC,82.8,93.2,69.6,20.8,29.2,16.5,62
MedHab,Harris,2026-04-03 00:00 UTC,91.7,102.3,80,20.8,25,17.3,62
MedHab,Harris,2026-04-03 01:00 UTC,83.8,94.3,64.6,19.9,25.4,15.4,61
MedHab,Harris,2026-04-03 02:00 UTC,78.8,93.6,55.4,22.2,40.4,15.3,62
MedHab,Harris,2026-04-03 03:00 UTC,78,91.5,57.2,17.5,29.7,14.5,62
MedHab,Harris,2026-04-03 04:00 UTC,87.6,93.2,79.2,19.5,35.9,15,61
MedHab,Harris,2026-04-03 05:00 UTC,84.6,91.9,71.9,17.3,25.2,13.5,60
MedHab,Harris,2026-04-03 06:00 UTC,80.3,88.7,69.6,18.4,24,14.8,61
MedHab,Harris,2026-04-03 07:00 UTC,75.3,86.2,61.4,18.3,22.2,14.9,62
MedHab,Harris,2026-04-03 08:00 UTC,79.8,89.1,69.5,18,25.1,15.3,62
MedHab,Harris,2026-04-03 09:00 UTC,77.6,86.3,62.3,15.7,20.1,13.1,62
MedHab,Harris,2026-04-03 10:00 UTC,79.1,84.6,66.6,16.8,32.3,13.5,62
MedHab,Harris,2026-04-03 11:00 UTC,82.5,89.3,67.8,18.3,35.4,15.2,60
MedHab,Harris,2026-04-03 12:00 UTC,80.1,89.6,59.2,19.3,40,14.3,62
MedHab,Harris,2026-04-03 13:00 UTC,54.1,65.4,47.4,19.6,32.7,14.4,62
MedHab,Harris,2026-04-03 14:00 UTC,45.4,49.5,42.5,18.9,32.1,14.2,62
MedHab,Harris,2026-04-03 15:00 UTC,66.6,82.5,42.6,17.9,29,12.6,61
MedHab,Harris,2026-04-03 16:00 UTC,78.7,85.2,71.4,18.1,24.6,14.2,63
MedHab,Harris,2026-04-03 17:00 UTC,79.8,87.9,63,18.5,34.5,13.6,55
MedHab,Harris,2026-04-03 18:00 UTC,64,91.2,47.3,17.7,31,14.2,62
MedHab,Harris,2026-04-03 19:00 UTC,83.3,94.7,70.6,18.2,20.7,14,59
MedHab,Harris,2026-04-03 20:00 UTC,82.5,94.6,63.6,19.5,24.5,14.5,61
MedHab,Harris,2026-04-03 21:00 UTC,89.9,97.1,71,20.2,30.8,13.3,62
MedHab,Harris,2026-04-03 22:00 UTC,83.7,94.9,60.1,21.1,36.4,14.9,61
MedHab,Harris,2026-04-03 23:00 UTC,88.3,95.1,60,19.6,23.3,14.3,62
MedHab,Harris,2026-04-04 00:00 UTC,93.1,100,80.3,20.5,23,17.5,61
MedHab,Harris,2026-04-04 01:00 UTC,92.7,101.7,84.5,17.9,23.8,14.6,62
MedHab,Harris,2026-04-04 02:00 UTC,91.2,98.1,78.8,16.6,21.3,14.6,59
MedHab,Harris,2026-04-04 03:00 UTC,86.5,94.2,72.5,16.8,22.2,14.8,61
MedHab,Harris,2026-04-04 04:00 UTC,72.6,91.2,61,19.9,31.5,14.3,61
MedHab,Harris,2026-04-04 05:00 UTC,85.9,93.4,77.5,20.3,27.1,16.9,62
MedHab,Harris,2026-04-04 06:00 UTC,90.8,93.7,81.2,18.8,23,15.7,61
MedHab,Harris,2026-04-04 07:00 UTC,85,93.3,72.9,19.4,29.2,14.1,62
MedHab,Harris,2026-04-04 08:00 UTC,77.5,88.3,60.8,15.5,20.5,13.4,62
MedHab,Harris,2026-04-04 09:00 UTC,76.1,85.6,62.1,15.8,22.2,13.6,60
MedHab,Harris,2026-04-04 10:00 UTC,80.8,87.6,69.2,17.6,23,13.4,62
MedHab,Harris,2026-04-04 11:00 UTC,86.6,92.8,81,18.6,23.8,16.2,62
MedHab,Harris,2026-04-04 12:00 UTC,80.3,94.4,66.5,15.8,22.4,13.1,61
MedHab,Harris,2026-04-04 13:00 UTC,69.5,84.3,56.4,18.3,22.9,14.3,62
MedHab,Harris,2026-04-04 14:00 UTC,83.5,91.4,70.1,19.7,22.8,16.1,61
MedHab,Harris,2026-04-04 15:00 UTC,73.8,94.4,58.2,20,36.1,15.5,62
MedHab,Harris,2026-04-04 16:00 UTC,83.3,91.8,68.5,20.2,26.7,16.5,61
MedHab,Harris,2026-04-04 17:00 UTC,79.4,95.7,58.2,19.8,25.3,15.9,63
MedHab,Harris,2026-04-04 18:00 UTC,88.7,95.1,79.9,21,35.6,16.3,61
MedHab,Harris,2026-04-04 19:00 UTC,84.4,93.8,70,20.7,36.6,15.8,62
MedHab,Harris,2026-04-04 20:00 UTC,76.6,90.2,57.5,19.8,34.9,14.8,62
MedHab,Harris,2026-04-04 21:00 UTC,77,89.6,57.4,20.3,37.3,14.2,61
MedHab,Harris,2026-04-04 22:00 UTC,77.2,97.1,68.6,18.1,22.2,12.7,61
MedHab,Harris,2026-04-04 23:00 UTC,89,97.9,73.2,19.6,31.4,13.8,62
MedHab,Harris,2026-04-05 00:00 UTC,89,97.6,79.9,20,30.2,16.9,62
