Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Hobson,2026-04-01 00:00 UTC,66.8,72.3,63,21.2,26.4,14.2,9
MedHab,Hobson,2026-04-01 01:00 UTC,,,,,,,0
MedHab,Hobson,2026-04-01 02:00 UTC,60.8,62.1,58.7,18.8,22.1,14.7,15
MedHab,Hobson,2026-04-01 03:00 UTC,70.2,83.4,60.4,15.9,17.3,14.3,62
MedHab,Hobson,2026-04-01 04:00 UTC,70.2,78,60.6,15.3,17.7,11.8,52
MedHab,Hobson,2026-04-01 05:00 UTC,70.7,80.7,55.8,14.7,18,12.5,60
MedHab,Hobson,2026-04-01 06:00 UTC,67.7,76.1,56,14.3,17.5,11.9,60
MedHab,Hobson,2026-04-01 07:00 UTC,69.2,78.4,52.7,15.2,21.7,12.6,54
MedHab,Hobson,2026-04-01 08:00 UTC,71.6,79.4,58.4,14.6,17.7,12.3,62
MedHab,Hobson,2026-04-01 09:00 UTC,68.5,78,53.4,13.9,18.2,12.4,61
MedHab,Hobson,2026-04-01 10:00 UTC,66.4,73.5,52.3,14.9,18.4,12.3,57
MedHab,Hobson,2026-04-01 11:00 UTC,65.5,74.8,60.7,15.5,19.8,12.9,60
MedHab,Hobson,2026-04-01 12:00 UTC,66.3,78.3,60.1,14.3,19,11.5,62
MedHab,Hobson,2026-04-01 13:00 UTC,60.9,73.1,49.7,16.3,19.1,13.1,61
MedHab,Hobson,2026-04-01 14:00 UTC,66.9,73.7,57.2,14.8,20.5,11.8,62
MedHab,Hobson,2026-04-01 15:00 UTC,64,76.6,55.7,16.4,20.7,11.7,56
MedHab,Hobson,2026-04-01 16:00 UTC,65.8,76.8,55.1,15.1,19.6,12.1,62
MedHab,Hobson,2026-04-01 17:00 UTC,61.8,76.3,52.3,14.8,19.4,12,61
MedHab,Hobson,2026-04-01 18:00 UTC,66.3,76.3,57.5,14.7,18.2,12.3,62
MedHab,Hobson,2026-04-01 19:00 UTC,60.4,73.9,53.9,17.1,21.3,13.4,52
MedHab,Hobson,2026-04-01 20:00 UTC,64.7,73,58.3,16.5,19.5,14.3,62
MedHab,Hobson,2026-04-01 21:00 UTC,65.1,72.2,55.5,15.2,19.4,12.1,55
MedHab,Hobson,2026-04-01 22:00 UTC,59.6,68.9,56.8,16.4,20.3,13.4,62
MedHab,Hobson,2026-04-01 23:00 UTC,64.7,75.3,57.6,16.4,19.7,13.3,49
MedHab,Hobson,2026-04-02 00:00 UTC,66.7,79.7,56.1,15.5,18.9,13.7,62
MedHab,Hobson,2026-04-02 01:00 UTC,67.7,77.9,56.4,15.3,18.3,12.7,54
MedHab,Hobson,2026-04-02 02:00 UTC,67.8,76.3,61.6,15.6,17.9,13.7,62
MedHab,Hobson,2026-04-02 03:00 UTC,68.1,73,61.7,16.7,20.6,13.8,55
MedHab,Hobson,2026-04-02 04:00 UTC,71,77.5,62.2,15.9,19.1,13.8,62
MedHab,Hobson,2026-04-02 05:00 UTC,67.2,72.9,57.2,15.7,19,13.3,62
MedHab,Hobson,2026-04-02 06:00 UTC,66.4,74.7,55.6,14.3,18.8,12,61
MedHab,Hobson,2026-04-02 07:00 UTC,64.8,72.7,59.6,14.9,18.5,12.7,58
