Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Hobson,2026-05-01 00:00 UTC,59.8,59.8,59.8,18.9,21,15.1,3
MedHab,Hobson,2026-05-01 01:00 UTC,59.9,59.9,59.9,13.5,14.9,12,2
MedHab,Hobson,2026-05-01 02:00 UTC,,,,14.1,14.6,13.6,0
MedHab,Hobson,2026-05-01 03:00 UTC,,,,,,,0
MedHab,Hobson,2026-05-01 04:00 UTC,60.7,72.4,56.4,17,25.7,12.9,20
MedHab,Hobson,2026-05-01 05:00 UTC,68.6,84.5,54.2,15.6,18.3,12.8,60
MedHab,Hobson,2026-05-01 06:00 UTC,74.9,84.7,55.5,14.2,18,12,55
MedHab,Hobson,2026-05-01 07:00 UTC,79.2,87.6,62.3,13.4,15.6,11.8,52
MedHab,Hobson,2026-05-01 08:00 UTC,74.6,93.6,46.7,15.2,18.7,12.7,45
MedHab,Hobson,2026-05-01 09:00 UTC,68.7,84.8,48,16.2,25.4,13.5,51
MedHab,Hobson,2026-05-01 10:00 UTC,78,93.5,61,15.1,18.9,12.6,49
MedHab,Hobson,2026-05-01 11:00 UTC,64.4,84.7,55.3,13.9,16.3,11.1,56
MedHab,Hobson,2026-05-01 12:00 UTC,60.4,66.2,53.4,15.3,20.1,12.3,60
MedHab,Hobson,2026-05-01 13:00 UTC,60.4,70.3,54.5,16.1,22.3,12,59
MedHab,Hobson,2026-05-01 14:00 UTC,65.7,74.4,50.8,14.1,17.9,11.9,51
MedHab,Hobson,2026-05-01 15:00 UTC,67.6,85,50.7,12.7,17,10.9,57
MedHab,Hobson,2026-05-01 16:00 UTC,66,80.8,55.2,13.6,17.5,11,62
MedHab,Hobson,2026-05-01 17:00 UTC,50.8,69.6,41,16.3,24.8,12.8,58
MedHab,Hobson,2026-05-01 18:00 UTC,58.4,77.8,41,17.4,22.5,14.1,61
MedHab,Hobson,2026-05-01 19:00 UTC,65.3,79.3,51.7,15.1,21,11.1,49
MedHab,Hobson,2026-05-01 20:00 UTC,63.3,77.9,47.7,14.7,22.6,11.5,62
MedHab,Hobson,2026-05-01 21:00 UTC,69.2,82.2,55,15,21.5,12.4,50
MedHab,Hobson,2026-05-01 22:00 UTC,57.3,67,54.5,17.6,25.8,12.8,58
MedHab,Hobson,2026-05-01 23:00 UTC,60.6,70.1,53.5,16.4,24.3,13.5,51
MedHab,Hobson,2026-05-02 00:00 UTC,60.5,76.5,55,15.8,19.9,11.2,5
MedHab,Hobson,2026-05-02 01:00 UTC,67.2,67.7,66.5,16.2,17.8,14.8,5
MedHab,Hobson,2026-05-02 02:00 UTC,,,,,,,0
MedHab,Hobson,2026-05-02 03:00 UTC,,,,,,,0
MedHab,Hobson,2026-05-02 04:00 UTC,66.2,69.3,58.6,16.6,18.9,12.4,16
MedHab,Hobson,2026-05-02 05:00 UTC,74.9,87.8,63.8,15.4,18.2,12.7,61
MedHab,Hobson,2026-05-02 06:00 UTC,80,89.6,58.9,14.1,18.1,12.2,60
MedHab,Hobson,2026-05-02 07:00 UTC,75.2,87.4,51,15.1,21.4,11.4,49
MedHab,Hobson,2026-05-02 08:00 UTC,75.7,88.4,54.8,15,21.4,12.7,50
MedHab,Hobson,2026-05-02 09:00 UTC,70.7,84.7,56.3,15,20.4,12,50
MedHab,Hobson,2026-05-02 10:00 UTC,71.2,79.1,55.5,14.4,16.7,12.3,56
MedHab,Hobson,2026-05-02 11:00 UTC,64,76.6,52.4,13.1,15.2,11.3,60
MedHab,Hobson,2026-05-02 12:00 UTC,65.6,75.7,49.8,14.5,18.9,11.3,59
MedHab,Hobson,2026-05-02 13:00 UTC,58.2,67.1,52.4,16.7,21.3,14,41
MedHab,Hobson,2026-05-02 14:00 UTC,66.4,74.2,52.9,15.3,24.3,11.1,60
MedHab,Hobson,2026-05-02 15:00 UTC,69.6,80.6,62.7,12.4,21.2,10.7,60
MedHab,Hobson,2026-05-02 16:00 UTC,60.4,70.6,53.4,14.3,20.4,11.2,58
MedHab,Hobson,2026-05-02 17:00 UTC,58.3,72.4,50.1,16.7,21.1,13.8,61
MedHab,Hobson,2026-05-02 18:00 UTC,69.1,79.7,56.2,15.1,19.7,12.3,61
MedHab,Hobson,2026-05-02 19:00 UTC,67.3,77.3,48.2,15.3,22.9,11.7,55
MedHab,Hobson,2026-05-02 20:00 UTC,65.5,73.8,55.2,14.4,20.3,11.8,52
MedHab,Hobson,2026-05-02 21:00 UTC,57.3,72.1,53.2,19.6,25.6,11.4,29
MedHab,Hobson,2026-05-02 22:00 UTC,52.7,80.1,50.4,17.3,22.2,14.4,17
MedHab,Hobson,2026-05-02 23:00 UTC,52.4,53.4,51.2,16.5,18,15.7,3
MedHab,Hobson,2026-05-03 00:00 UTC,52.7,53.3,52.1,13.2,14,11.7,2
MedHab,Hobson,2026-05-03 01:00 UTC,52.4,52.4,52.4,13,13.2,12.8,1
