Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Jones,2026-04-01 00:00 UTC,57.3,64.1,55.1,17.2,22.7,12.5,15
MedHab,Jones,2026-04-01 01:00 UTC,59.5,73.3,54.8,17.8,26.2,13.3,12
MedHab,Jones,2026-04-01 02:00 UTC,56.7,59.8,54.2,16.4,19.5,13.8,5
MedHab,Jones,2026-04-01 03:00 UTC,59.2,65,55.4,18.3,23.1,15.7,6
MedHab,Jones,2026-04-01 04:00 UTC,59.4,71.2,54.9,18.8,24,15.6,5
MedHab,Jones,2026-04-01 05:00 UTC,,,,16.5,21.5,13.3,0
MedHab,Jones,2026-04-01 06:00 UTC,,,,15.8,16.9,14.8,0
MedHab,Jones,2026-04-01 07:00 UTC,,,,14.8,15.5,14.2,0
MedHab,Jones,2026-04-01 08:00 UTC,,,,16.6,16.6,16.5,0
MedHab,Jones,2026-04-01 09:00 UTC,65.2,65.2,65.2,14.1,14.1,14,1
MedHab,Jones,2026-04-01 10:00 UTC,,,,13.1,13.6,12.3,0
MedHab,Jones,2026-04-01 11:00 UTC,61.9,61.9,61.9,12.5,14.4,10,1
MedHab,Jones,2026-04-01 12:00 UTC,60.8,60.8,60.8,14.3,16.1,12.3,1
MedHab,Jones,2026-04-01 13:00 UTC,60.7,61.5,59.2,15.3,18.8,10.2,5
MedHab,Jones,2026-04-01 14:00 UTC,58.2,58.2,58.2,14.8,18.2,11.6,1
MedHab,Jones,2026-04-01 15:00 UTC,60.6,66.1,55.1,13.7,14.4,13.1,2
MedHab,Jones,2026-04-01 16:00 UTC,59.6,59.6,59.6,15.3,16.7,14.1,1
MedHab,Jones,2026-04-01 17:00 UTC,65,69,57.6,16.3,21.7,10,9
MedHab,Jones,2026-04-01 18:00 UTC,62.2,62.2,62.2,13.8,16.4,10.5,1
MedHab,Jones,2026-04-01 19:00 UTC,,,,14,18.8,10.5,0
MedHab,Jones,2026-04-01 20:00 UTC,57.7,61.7,52.1,16.7,22.3,13.3,16
MedHab,Jones,2026-04-01 21:00 UTC,59.9,65.5,57.2,16.6,22.1,13.6,13
MedHab,Jones,2026-04-01 22:00 UTC,59.1,62.6,56,19,30.4,13.6,15
MedHab,Jones,2026-04-01 23:00 UTC,58.2,61.1,55.2,17.4,24.7,12.4,18
MedHab,Jones,2026-04-02 00:00 UTC,57.6,61.1,53.3,16.9,22.3,11.5,18
MedHab,Jones,2026-04-02 01:00 UTC,54.5,59,52.1,16.5,21,12.5,21
MedHab,Jones,2026-04-02 02:00 UTC,55,58,53.1,17.1,23,13.3,14
MedHab,Jones,2026-04-02 03:00 UTC,52.2,52.8,51.6,16.6,19.5,13,2
MedHab,Jones,2026-04-02 04:00 UTC,51.3,51.3,51.3,15.1,17.6,12.3,1
MedHab,Jones,2026-04-02 05:00 UTC,51,51,51,16.4,19.7,13.5,1
MedHab,Jones,2026-04-02 06:00 UTC,,,,15.2,17.8,12.8,0
MedHab,Jones,2026-04-02 07:00 UTC,,,,13.3,13.3,13.2,0
MedHab,Jones,2026-04-02 08:00 UTC,,,,18.6,23,14.1,0
MedHab,Jones,2026-04-02 09:00 UTC,,,,14,15.5,13,0
MedHab,Jones,2026-04-02 10:00 UTC,55.2,56.8,53.8,15.9,22.9,12.8,13
MedHab,Jones,2026-04-02 11:00 UTC,61,64,58,14.9,16.9,12.6,13
MedHab,Jones,2026-04-02 12:00 UTC,60.5,64.8,51.3,15.5,20.3,13,14
MedHab,Jones,2026-04-02 13:00 UTC,53.5,57.3,49.7,15.7,20.6,12,12
MedHab,Jones,2026-04-02 14:00 UTC,54.7,57,49.9,16.5,19.6,12.8,7
MedHab,Jones,2026-04-02 15:00 UTC,55,60.8,51.8,16.2,21.9,13.5,7
MedHab,Jones,2026-04-02 16:00 UTC,56.9,59,55,14.9,17.6,11.6,8
MedHab,Jones,2026-04-03 15:00 UTC,58.9,60.5,56.6,16.8,19.8,12.6,17
MedHab,Jones,2026-04-03 16:00 UTC,54.7,58.5,52.5,16.3,21.2,12.4,34
MedHab,Jones,2026-04-03 17:00 UTC,62.2,64.6,60.6,16.3,21.2,12.2,4
MedHab,Jones,2026-04-03 18:00 UTC,57.6,60.8,54.3,15.6,23,11.4,12
MedHab,Jones,2026-04-03 19:00 UTC,61.5,63.8,60.1,16.2,20.9,14,5
MedHab,Jones,2026-04-03 20:00 UTC,61.9,66.5,59.2,16,20.7,12.9,11
MedHab,Jones,2026-04-03 21:00 UTC,57.2,58.1,56.4,16.1,21.6,12.9,6
MedHab,Jones,2026-04-03 22:00 UTC,61.7,65.6,58.2,15.6,21.5,12.2,15
MedHab,Jones,2026-04-03 23:00 UTC,59.6,60.5,58.7,15.5,19.9,12.3,3
MedHab,Jones,2026-04-04 00:00 UTC,57.5,58.1,56.9,17.4,20.1,13.9,2
MedHab,Jones,2026-04-04 01:00 UTC,57.7,63.1,54,15.9,20,11.9,13
MedHab,Jones,2026-04-04 02:00 UTC,59.3,59.9,58.7,15.6,18.3,12.9,2
MedHab,Jones,2026-04-04 03:00 UTC,58.3,59.7,57.6,16.7,22.2,12.4,7
MedHab,Jones,2026-04-04 04:00 UTC,57.3,58.8,55.1,15.4,20,12,11
MedHab,Jones,2026-04-04 05:00 UTC,55.2,56.5,53.1,15.3,19.1,13,6
MedHab,Jones,2026-04-04 06:00 UTC,58.3,66,53.6,15.7,20.2,12.7,56
MedHab,Jones,2026-04-04 07:00 UTC,57,62,54.2,17.1,21.6,12.8,50
MedHab,Jones,2026-04-04 08:00 UTC,58,60.8,54.9,18,25,13.5,61
MedHab,Jones,2026-04-04 09:00 UTC,60.7,68.4,55.1,17.2,23.5,13.5,53
MedHab,Jones,2026-04-04 10:00 UTC,60.1,64.1,56.3,15.7,21.4,12.7,43
MedHab,Jones,2026-04-04 11:00 UTC,58.5,68.8,53,14.9,19.4,12.4,49
MedHab,Jones,2026-04-04 12:00 UTC,56.5,62,52,15.8,21.5,12.4,52
MedHab,Jones,2026-04-04 13:00 UTC,55.6,59.6,52.3,16.6,26.2,13.5,57
MedHab,Jones,2026-04-04 14:00 UTC,56.9,64.2,53.7,16.8,23,13.5,61
MedHab,Jones,2026-04-04 15:00 UTC,56.1,60.6,51.5,17.8,23.3,13.9,58
MedHab,Jones,2026-04-04 16:00 UTC,55.8,60.8,51.8,16.5,20.1,13.8,35
MedHab,Jones,2026-04-04 17:00 UTC,57.3,63.1,52.6,17.1,22.9,12,60
MedHab,Jones,2026-04-04 18:00 UTC,61.3,66.6,55,15.6,20.7,12.4,53
MedHab,Jones,2026-04-04 19:00 UTC,56.8,64.6,51.6,17.2,22,12.2,62
MedHab,Jones,2026-04-04 20:00 UTC,58,64,51.9,17,24.7,12.7,59
MedHab,Jones,2026-04-04 21:00 UTC,58.1,63.6,52.6,17.4,27.3,12.4,57
MedHab,Jones,2026-04-04 22:00 UTC,54.4,59.2,47.3,17.4,25.7,12.3,59
MedHab,Jones,2026-04-04 23:00 UTC,57.5,63.2,53.1,15.4,20.4,12.5,56
MedHab,Jones,2026-04-05 00:00 UTC,57.2,66.4,51.1,16.3,21.7,11.9,529
MedHab,Jones,2026-04-05 01:00 UTC,54.9,60.5,50.5,17.6,23.9,12.9,630
MedHab,Jones,2026-04-05 02:00 UTC,56.2,65,50.9,15.8,21.7,12.6,566
MedHab,Jones,2026-04-05 03:00 UTC,54.8,59.1,51.1,16.6,23,12.3,486
MedHab,Jones,2026-04-05 04:00 UTC,58.9,61.5,55.6,16.5,19.9,13,198
MedHab,Jones,2026-04-05 05:00 UTC,59.6,66.6,57.5,16.2,19,13.4,73
MedHab,Jones,2026-04-05 06:00 UTC,61.8,64.1,60.2,15.4,20.3,12,18
MedHab,Jones,2026-04-05 07:00 UTC,61.5,64.1,58,15.5,20.4,13,111
MedHab,Jones,2026-04-05 08:00 UTC,60.8,65.3,57.7,15.3,18.8,12.4,145
MedHab,Jones,2026-04-05 09:00 UTC,59.3,63.1,55.2,15.2,18.4,12.8,102
MedHab,Jones,2026-04-05 10:00 UTC,61.7,64.7,57.9,14.8,19.3,12.4,154
MedHab,Jones,2026-04-05 11:00 UTC,57.8,60.7,55.5,14.3,17.3,12.1,128
MedHab,Jones,2026-04-05 12:00 UTC,55.9,60,50.7,14.9,19.3,11.8,143
MedHab,Jones,2026-04-05 13:00 UTC,55.9,61.1,52.4,16.3,22.4,12.3,519
MedHab,Jones,2026-04-05 14:00 UTC,57.5,62.3,54.6,14.9,17.9,11.6,105
MedHab,Jones,2026-04-05 15:00 UTC,60.4,62.3,57.3,14.4,16.2,12,116
MedHab,Jones,2026-04-05 16:00 UTC,57.4,58.7,55.9,17.9,28,11.9,141
MedHab,Jones,2026-04-05 17:00 UTC,55.3,61.4,49.4,16.9,26.5,12.6,572
MedHab,Jones,2026-04-05 18:00 UTC,55.5,63,49,15,21.2,11.2,605
MedHab,Jones,2026-04-05 19:00 UTC,55.5,63.5,49.9,16.6,26.7,12.3,632
MedHab,Jones,2026-04-05 20:00 UTC,58,63.6,53.4,16.6,23.3,11.5,586
MedHab,Jones,2026-04-05 21:00 UTC,55,62,50.7,15,21.5,11.8,420
MedHab,Jones,2026-04-05 22:00 UTC,55.1,60.1,47.6,16.3,24.8,11.3,519
MedHab,Jones,2026-04-05 23:00 UTC,54.8,59.4,50.2,16.2,23.4,12.5,435
MedHab,Jones,2026-04-06 00:00 UTC,56.2,63.7,52.2,16.5,22.3,11.9,573
MedHab,Jones,2026-04-06 01:00 UTC,57.5,61.9,50.8,16.9,22.5,13.2,620
MedHab,Jones,2026-04-06 02:00 UTC,55.2,62.3,50.8,17.3,23.5,12.7,534
MedHab,Jones,2026-04-06 03:00 UTC,56.5,61.7,51.3,17.2,25.3,12.4,612
MedHab,Jones,2026-04-06 04:00 UTC,55.9,66.7,51.1,17.7,22.4,12.7,526
MedHab,Jones,2026-04-06 05:00 UTC,54.5,60.4,50,16.2,22.4,12.4,270
MedHab,Jones,2026-04-06 06:00 UTC,62.6,70.1,51.5,15.3,23.7,13.3,354
