Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Jones,2026-05-01 00:00 UTC,48.7,58.9,45.1,16.5,22.3,11.5,47
MedHab,Jones,2026-05-01 01:00 UTC,53.2,57.7,44.9,17.1,23.3,13.3,60
MedHab,Jones,2026-05-01 02:00 UTC,50,55.2,46.7,15.5,19.8,12.2,61
MedHab,Jones,2026-05-01 03:00 UTC,52,56.1,48.9,16.2,20.8,12.2,61
MedHab,Jones,2026-05-01 04:00 UTC,57.4,79.4,50.2,15.8,20.8,12.9,50
MedHab,Jones,2026-05-01 05:00 UTC,54.8,62.1,47.7,15.6,20.2,12.6,60
MedHab,Jones,2026-05-01 06:00 UTC,59.6,64.9,53.5,14.7,20.2,12.7,61
MedHab,Jones,2026-05-01 07:00 UTC,58.8,65.3,52.7,15.5,23.1,13.1,61
MedHab,Jones,2026-05-01 08:00 UTC,60.6,67.3,55.5,14.8,17.8,12.8,61
MedHab,Jones,2026-05-01 09:00 UTC,59.5,66.6,54.3,15.4,24.4,12.3,61
MedHab,Jones,2026-05-01 10:00 UTC,54.3,58.6,52.4,14.9,20.4,12.2,61
MedHab,Jones,2026-05-01 11:00 UTC,55.9,60,51,15,19.8,12.2,61
MedHab,Jones,2026-05-01 12:00 UTC,57,62.6,54.4,14.9,21.8,11.6,61
MedHab,Jones,2026-05-01 13:00 UTC,52.1,57.7,48.5,16.4,24.3,12.2,61
MedHab,Jones,2026-05-01 14:00 UTC,55.6,61.2,49.3,18.6,29,13.5,58
MedHab,Jones,2026-05-01 15:00 UTC,63.5,72,56.9,16.5,25.5,13.3,56
MedHab,Jones,2026-05-01 16:00 UTC,53.4,57.6,48.8,16.3,22.1,12.9,61
MedHab,Jones,2026-05-01 17:00 UTC,53,55.9,50.4,18.8,27.2,12.2,60
MedHab,Jones,2026-05-01 18:00 UTC,55,61.5,51.2,16.2,23.7,12,60
MedHab,Jones,2026-05-01 19:00 UTC,54.1,58,49.2,15.7,21.6,12,60
MedHab,Jones,2026-05-01 20:00 UTC,56.6,63.1,49.9,17.3,23.9,13.9,58
MedHab,Jones,2026-05-01 21:00 UTC,51.5,54.7,48.4,16.4,23.5,12.8,60
MedHab,Jones,2026-05-01 22:00 UTC,51.4,58.1,47.4,16.8,25.2,12.3,60
MedHab,Jones,2026-05-01 23:00 UTC,49.3,54.7,45.2,17.1,23.2,12.3,61
MedHab,Jones,2026-05-02 00:00 UTC,50.8,55.6,46.9,17.3,21.9,13.8,61
MedHab,Jones,2026-05-02 01:00 UTC,49,51,47,16.7,20.7,13.4,60
MedHab,Jones,2026-05-02 02:00 UTC,49.6,54,47.1,17.6,27,13.6,61
MedHab,Jones,2026-05-02 03:00 UTC,51.1,56.7,47.7,16.9,21.6,11.1,61
MedHab,Jones,2026-05-02 04:00 UTC,53.7,58.1,49.7,17.6,21.9,13.3,61
MedHab,Jones,2026-05-02 05:00 UTC,51.9,57.5,48.3,17.4,25.5,12.5,61
MedHab,Jones,2026-05-02 06:00 UTC,54.2,63.9,48.2,17.3,28.4,12.7,60
MedHab,Jones,2026-05-02 07:00 UTC,54.2,59.2,47.3,16.9,21.8,14,61
MedHab,Jones,2026-05-02 08:00 UTC,57.2,60.8,52,15.7,18.9,12.6,61
MedHab,Jones,2026-05-02 09:00 UTC,60,67.6,55.3,14.7,18.7,12.8,61
MedHab,Jones,2026-05-02 10:00 UTC,57.9,65.5,52.9,14.7,18.8,12.6,61
MedHab,Jones,2026-05-02 11:00 UTC,56.1,62.5,52.1,16.1,21,12,60
MedHab,Jones,2026-05-02 12:00 UTC,60.1,64.3,53.5,15.4,20.6,11.9,61
MedHab,Jones,2026-05-02 13:00 UTC,50.8,54,48.9,16,21.4,12.4,61
MedHab,Jones,2026-05-02 14:00 UTC,50.5,58.2,47.9,16.2,25,13.3,60
MedHab,Jones,2026-05-02 15:00 UTC,56.5,60.6,53,15.9,29.9,13,60
MedHab,Jones,2026-05-02 16:00 UTC,51.3,56.1,46.7,15,19.6,10.9,60
MedHab,Jones,2026-05-02 17:00 UTC,53.9,61.5,48.4,15.6,22.9,12.9,58
MedHab,Jones,2026-05-02 18:00 UTC,59,66.8,51.2,15.1,22.9,12.4,56
MedHab,Jones,2026-05-02 19:00 UTC,53.3,61.4,46,15.6,24.1,11.5,61
MedHab,Jones,2026-05-02 20:00 UTC,53.5,60.2,46.1,15,24.3,9.7,53
MedHab,Jones,2026-05-02 21:00 UTC,50.3,54.2,45.7,16.6,21,12.7,61
MedHab,Jones,2026-05-02 22:00 UTC,51.8,56.9,49,16.6,26.2,12.3,61
MedHab,Jones,2026-05-02 23:00 UTC,52.6,57.4,47.8,16.2,23.3,12.6,61
MedHab,Jones,2026-05-03 00:00 UTC,51.8,57.9,47.3,17.2,23.8,12.3,61
MedHab,Jones,2026-05-03 01:00 UTC,56.4,59.3,52,18.4,24.8,13.3,61
MedHab,Jones,2026-05-03 02:00 UTC,57.6,65.6,49.3,16.5,21.7,12.9,61
MedHab,Jones,2026-05-03 03:00 UTC,53,65,47.8,16.4,21.3,12.1,61
MedHab,Jones,2026-05-03 04:00 UTC,61.2,69.2,56.6,15.8,17.9,13.3,60
MedHab,Jones,2026-05-03 05:00 UTC,55.7,59.4,52.7,14.9,17.1,12.7,61
MedHab,Jones,2026-05-03 06:00 UTC,57.3,61.9,51.4,14.5,16.5,12.3,61
