Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Parker,2026-04-01 00:00 UTC,61.5,66.3,55.2,17.2,19.5,10.3,44
MedHab,Parker,2026-04-01 01:00 UTC,61.4,64.7,58.1,17.3,21,14.7,60
MedHab,Parker,2026-04-01 02:00 UTC,60.1,63.4,57,17.5,20.4,15.1,60
MedHab,Parker,2026-04-01 03:00 UTC,60.8,67.8,52.5,17.1,18.8,12.9,62
MedHab,Parker,2026-04-01 04:00 UTC,63.2,69.4,60.6,16.8,19.3,15.2,60
MedHab,Parker,2026-04-01 05:00 UTC,62.4,65.8,58.3,16.3,17.7,15.3,61
MedHab,Parker,2026-04-01 06:00 UTC,62,68.7,57.7,18.7,22.4,15.8,55
MedHab,Parker,2026-04-01 07:00 UTC,55.8,69.5,44,18.6,21.1,13.8,54
MedHab,Parker,2026-04-01 08:00 UTC,62.1,70,51.7,19.1,21.6,12,57
MedHab,Parker,2026-04-01 09:00 UTC,67.8,73.5,59.7,19.3,21.5,13.9,54
MedHab,Parker,2026-04-01 10:00 UTC,61,69.7,50,19,23.1,12.7,54
MedHab,Parker,2026-04-01 11:00 UTC,67.6,71.4,62.1,19.4,21.3,15.8,58
MedHab,Parker,2026-04-01 12:00 UTC,69.5,75.3,64.1,18.4,20.2,15.9,54
MedHab,Parker,2026-04-01 13:00 UTC,64.7,76.7,52.5,18.4,22.9,15.7,45
MedHab,Parker,2026-04-01 14:00 UTC,72.3,83.1,56.5,20.5,24.3,15.8,58
MedHab,Parker,2026-04-01 15:00 UTC,82.4,85.3,76.5,21,23.8,16.3,48
MedHab,Parker,2026-04-01 16:00 UTC,59.4,63.4,46.4,19.5,25.1,9.4,48
MedHab,Parker,2026-04-01 17:00 UTC,46.2,47.6,45,21.2,24.9,14.2,60
MedHab,Parker,2026-04-01 18:00 UTC,52.6,64.4,44.7,22.6,26.7,19.2,51
MedHab,Parker,2026-04-01 19:00 UTC,61.2,67.3,53,21.8,24.9,18.7,55
MedHab,Parker,2026-04-01 20:00 UTC,58.4,67.8,51.8,23,26.8,17.5,58
MedHab,Parker,2026-04-01 21:00 UTC,61.6,69.1,55,21.4,24.9,11.6,24
MedHab,Parker,2026-04-01 22:00 UTC,63,73.6,54.7,21.7,24.8,17.8,52
