Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Parker,2026-05-04 15:00 UTC,,,,12.6,12.6,12.6,0
MedHab,Parker,2026-05-04 16:00 UTC,60.4,65,55.1,13.3,16.4,12,58
MedHab,Parker,2026-05-04 17:00 UTC,58.9,65.5,52.4,13.5,22.6,11.4,42
MedHab,Parker,2026-05-04 18:00 UTC,60.6,66.3,56.5,12.8,14.4,12.1,54
MedHab,Parker,2026-05-04 19:00 UTC,60.5,63.2,54.7,17.4,21.9,14.4,56
MedHab,Parker,2026-05-04 20:00 UTC,52.6,55.7,48.9,15.8,18.5,13.5,52
MedHab,Parker,2026-05-04 21:00 UTC,58.4,65.3,47.8,14.4,17.9,11.6,52
MedHab,Parker,2026-05-04 22:00 UTC,58.7,63.7,54.7,15,20.1,13,44
MedHab,Parker,2026-05-04 23:00 UTC,52.6,55.7,48.8,15.7,18.4,13.2,56
MedHab,Parker,2026-05-05 00:00 UTC,56.3,63.2,47,15.1,19.7,12,47
MedHab,Parker,2026-05-05 01:00 UTC,56.4,60.5,51.2,14.3,16.4,10.2,29
MedHab,Parker,2026-05-05 02:00 UTC,57.8,65.2,54.2,15.9,19.4,12.3,47
MedHab,Parker,2026-05-05 03:00 UTC,56.4,59.1,54,15.8,19.2,12.7,46
MedHab,Parker,2026-05-05 04:00 UTC,57.5,60.8,53.1,14.8,19.2,12.8,39
MedHab,Parker,2026-05-05 05:00 UTC,59.3,62.5,57,13.2,23.5,11.2,46
MedHab,Parker,2026-05-05 06:00 UTC,57.5,64.2,53.3,13.1,16,11.7,52
MedHab,Parker,2026-05-05 07:00 UTC,56.5,60.5,52.1,14.4,18.9,9.9,18
MedHab,Parker,2026-05-05 08:00 UTC,53.6,60.1,49.1,14.8,19.1,9,48
MedHab,Parker,2026-05-05 09:00 UTC,56.5,66.7,51.3,13.7,23.2,11.3,51
MedHab,Parker,2026-05-05 10:00 UTC,60,67.4,55.2,12.7,22.5,11.1,57
MedHab,Parker,2026-05-05 11:00 UTC,60.5,65.3,58.9,13.7,17.2,11,60
MedHab,Parker,2026-05-05 12:00 UTC,56.2,60.5,53.2,13.4,17.8,11.2,61
MedHab,Parker,2026-05-05 13:00 UTC,61,66,55,13.6,18.5,11.8,53
MedHab,Parker,2026-05-05 14:00 UTC,62.6,70.1,55.4,15.2,22,11.3,43
MedHab,Parker,2026-05-05 15:00 UTC,69.2,71.7,55.6,13.5,14.8,12.5,56
MedHab,Parker,2026-05-05 16:00 UTC,66.1,70.7,60.4,13.7,15.3,12.4,54
MedHab,Parker,2026-05-05 17:00 UTC,63.9,67.3,56.3,14.3,17.8,12.3,55
MedHab,Parker,2026-05-05 18:00 UTC,57.5,66.5,48.7,14.7,19.5,9.8,28
MedHab,Parker,2026-05-05 19:00 UTC,64.8,69.1,54.4,15.1,19.2,12.1,56
MedHab,Parker,2026-05-05 20:00 UTC,56.1,65.3,46.5,14.6,17.2,10,50
MedHab,Parker,2026-05-05 21:00 UTC,64.7,71.8,59.9,14.8,18.1,12.3,59
MedHab,Parker,2026-05-05 22:00 UTC,67.5,70.7,61.2,14.3,16.4,12.6,55
MedHab,Parker,2026-05-05 23:00 UTC,55.4,65.1,44.7,15.2,19.9,11.5,56
MedHab,Parker,2026-05-06 00:00 UTC,65.6,71.2,56.7,17.6,21.7,10.3,38
MedHab,Parker,2026-05-06 01:00 UTC,61.6,65.9,55.7,17.6,19.6,14.5,49
MedHab,Parker,2026-05-06 02:00 UTC,59.3,62.3,56,16.6,20.9,11.9,58
MedHab,Parker,2026-05-06 03:00 UTC,54.2,56.8,51.4,16,19.4,11.1,57
MedHab,Parker,2026-05-06 04:00 UTC,56.6,60.4,52.7,14.7,17.1,13,60
MedHab,Parker,2026-05-06 05:00 UTC,58.1,62.6,54.9,13.8,15.3,12.8,46
MedHab,Parker,2026-05-06 06:00 UTC,56.4,60,53.5,14.2,15.6,13.4,55
MedHab,Parker,2026-05-06 07:00 UTC,55.8,70,53.4,13.9,17.7,12.4,40
MedHab,Parker,2026-05-06 08:00 UTC,54.5,60.2,48.6,14.9,17.8,9.6,48
MedHab,Parker,2026-05-06 09:00 UTC,53.5,67.5,45.7,15.5,18.8,13.1,56
MedHab,Parker,2026-05-06 10:00 UTC,57.4,72.4,49.8,13.2,14.4,12.1,37
MedHab,Parker,2026-05-06 11:00 UTC,53.8,64.5,49.6,13.8,16,12.5,57
MedHab,Parker,2026-05-06 12:00 UTC,54,60,49.7,13.2,14.2,11.7,53
MedHab,Parker,2026-05-06 13:00 UTC,55.8,57.1,54.4,14.7,18.4,0.1,57
MedHab,Parker,2026-05-06 14:00 UTC,54.2,55.6,50.3,15.1,18.6,0.1,49
MedHab,Parker,2026-05-06 15:00 UTC,56.9,64.9,51.3,13.3,19.3,0.1,51
MedHab,Parker,2026-05-06 16:00 UTC,60.4,64.8,57.5,12.4,18.1,0.1,49
MedHab,Parker,2026-05-06 17:00 UTC,63.6,71.9,58.9,13.5,18.3,11.5,66
MedHab,Parker,2026-05-06 18:00 UTC,59.2,62.5,55.1,13.1,15.5,12,62
MedHab,Parker,2026-05-06 19:00 UTC,61.3,70,56.4,13.2,15.9,11.8,51
MedHab,Parker,2026-05-06 20:00 UTC,59.5,62.4,57.1,15.8,17.3,13.6,62
MedHab,Parker,2026-05-06 21:00 UTC,61.6,68.8,48.9,14.6,19.8,11,59
MedHab,Parker,2026-05-06 22:00 UTC,63.9,68.8,50.1,16.7,21.4,13.2,66
MedHab,Parker,2026-05-06 23:00 UTC,53.1,69.1,49,16.1,19.6,10.3,36
MedHab,Parker,2026-05-07 00:00 UTC,56.5,65,50.1,14.7,18.4,12,55
MedHab,Parker,2026-05-07 01:00 UTC,54.6,68.2,52.5,15.8,20.2,12.6,64
MedHab,Parker,2026-05-07 02:00 UTC,58.3,63.3,55.2,15.2,18.6,11.3,66
MedHab,Parker,2026-05-07 03:00 UTC,64.1,67.4,58.1,14.8,17.4,12.8,65
MedHab,Parker,2026-05-07 04:00 UTC,57.8,59.6,55.7,13,17.2,11.6,64
MedHab,Parker,2026-05-07 05:00 UTC,60.8,65.8,54.5,12.3,15.2,11.3,65
MedHab,Parker,2026-05-07 06:00 UTC,60.3,66.5,53.3,12.6,13.7,11.5,62
MedHab,Parker,2026-05-07 07:00 UTC,65,71.4,54.7,16.5,29.5,11.4,56
MedHab,Parker,2026-05-07 08:00 UTC,64.1,71.1,50.2,14.8,20.5,11.9,61
MedHab,Parker,2026-05-07 09:00 UTC,49.9,54.3,45.7,14.7,20.5,12.6,64
MedHab,Parker,2026-05-07 10:00 UTC,50.3,58.5,47.1,14,16.8,11.4,66
MedHab,Parker,2026-05-07 11:00 UTC,57.1,61.2,53.5,14.8,16.8,12.5,63
MedHab,Parker,2026-05-07 12:00 UTC,61.2,65.5,57.7,13.8,16,12,66
MedHab,Parker,2026-05-07 13:00 UTC,61,67,57.7,13.6,18.1,11.1,61
MedHab,Parker,2026-05-07 14:00 UTC,59.2,63.6,54,12.7,14.9,11.2,64
MedHab,Parker,2026-05-07 15:00 UTC,64.1,71.6,57.3,14.4,18.6,11,66
MedHab,Parker,2026-05-07 16:00 UTC,58.6,61.2,55.8,13.7,17.4,10.8,65
MedHab,Parker,2026-05-07 17:00 UTC,58.3,66.7,52.4,14.7,18.7,12,65
MedHab,Parker,2026-05-07 18:00 UTC,59.7,63,56.2,12.2,14.8,11.2,64
MedHab,Parker,2026-05-07 19:00 UTC,60.9,64.3,57.4,12.5,16,11.4,65
MedHab,Parker,2026-05-07 20:00 UTC,64.2,70.5,60.7,13.6,18.2,11.4,61
MedHab,Parker,2026-05-07 21:00 UTC,60.9,63.5,56.1,14.6,17,12.6,61
MedHab,Parker,2026-05-07 22:00 UTC,55.4,74.3,46.2,14.6,17.3,12.3,53
MedHab,Parker,2026-05-07 23:00 UTC,56.7,63,54.2,14.8,18.6,11.4,62
MedHab,Parker,2026-05-08 00:00 UTC,63.1,68.7,58.1,15.9,22.6,12.1,54
MedHab,Parker,2026-05-08 01:00 UTC,63.1,70.9,58.5,16.1,18.4,13.3,62
MedHab,Parker,2026-05-08 02:00 UTC,62.7,67.3,55.2,14.4,16.5,12.2,66
MedHab,Parker,2026-05-08 03:00 UTC,60.8,66.2,56.8,13,16.1,11.7,64
MedHab,Parker,2026-05-08 04:00 UTC,60.4,68.1,55,12.3,18.2,10.5,65
MedHab,Parker,2026-05-08 05:00 UTC,62.8,73.8,56.7,11.5,19.1,9.6,66
MedHab,Parker,2026-05-08 06:00 UTC,63.8,71,58.2,15.8,21.5,9.9,64
MedHab,Parker,2026-05-08 07:00 UTC,61.2,63.7,55.1,11.3,22,9.3,64
MedHab,Parker,2026-05-08 08:00 UTC,59.8,65.8,56.5,10.7,13.3,9.1,65
MedHab,Parker,2026-05-08 09:00 UTC,62.8,68.3,59.6,10.2,13.2,9.4,67
MedHab,Parker,2026-05-08 10:00 UTC,61.3,64.8,59.2,10.7,13.6,9.2,66
MedHab,Parker,2026-05-08 11:00 UTC,61.9,64.4,57.9,13.5,20.1,10.4,65
MedHab,Parker,2026-05-08 12:00 UTC,60.6,65.7,57.5,13,15.3,10.9,64
MedHab,Parker,2026-05-08 13:00 UTC,59.3,64.4,55.7,12.5,15.4,10.4,64
MedHab,Parker,2026-05-08 14:00 UTC,54.5,60.2,50.9,14.2,18.8,11.7,61
MedHab,Parker,2026-05-08 15:00 UTC,58.1,60.6,54.6,13.4,15.9,10.7,55
MedHab,Parker,2026-05-08 16:00 UTC,62.2,65.3,56.5,14.1,17.1,11.9,50
MedHab,Parker,2026-05-08 17:00 UTC,62,70.5,49.6,14.7,26.2,11.1,49
MedHab,Parker,2026-05-08 18:00 UTC,58,61.4,54,13.7,17.4,10.8,65
MedHab,Parker,2026-05-08 19:00 UTC,60.9,66.5,55.2,12.9,14.9,10.8,60
MedHab,Parker,2026-05-08 20:00 UTC,61.1,66.8,56.2,15.1,21.9,13,63
MedHab,Parker,2026-05-08 21:00 UTC,67,70.7,61.8,13.4,17.2,11.6,63
MedHab,Parker,2026-05-08 22:00 UTC,65.8,73.6,61,12.4,13.8,10.7,61
MedHab,Parker,2026-05-08 23:00 UTC,63,70.5,57.5,15.6,23.2,12.8,60
MedHab,Parker,2026-05-09 00:00 UTC,61.8,66.7,56.5,15.2,18,12.7,65
MedHab,Parker,2026-05-09 01:00 UTC,63.3,69,59.2,15.4,19.3,13.5,61
MedHab,Parker,2026-05-09 02:00 UTC,60.4,67.7,54.3,14.9,16.8,12.4,64
MedHab,Parker,2026-05-09 03:00 UTC,58.7,66.3,53.8,14.4,16.5,12.6,62
MedHab,Parker,2026-05-09 04:00 UTC,57.7,61.9,53,13.1,15.6,11.5,66
MedHab,Parker,2026-05-09 05:00 UTC,57.2,64.2,52.2,13.7,16.2,11.4,65
MedHab,Parker,2026-05-09 06:00 UTC,63.3,75.4,54.9,13,16.1,11.7,64
MedHab,Parker,2026-05-09 07:00 UTC,68.7,74.5,59.3,13.2,15.9,11.7,64
MedHab,Parker,2026-05-09 08:00 UTC,61.8,68.8,57.5,11.8,12.9,10.2,63
MedHab,Parker,2026-05-09 09:00 UTC,60.3,63.2,57.6,11.7,13.4,10.7,50
MedHab,Parker,2026-05-09 12:00 UTC,60.9,73.5,58,11.9,14,10.6,33
MedHab,Parker,2026-05-09 13:00 UTC,59.5,65.4,55.6,14.6,20.9,8.8,54
MedHab,Parker,2026-05-09 14:00 UTC,62.3,66.9,56.6,14,16.7,12.2,61
MedHab,Parker,2026-05-09 15:00 UTC,57.7,59.8,55.3,14.3,17.7,12,61
MedHab,Parker,2026-05-09 16:00 UTC,64.9,72,57.9,11.9,12.6,10.8,54
MedHab,Parker,2026-05-09 17:00 UTC,60.3,64.1,55.1,16,21.3,10.8,59
MedHab,Parker,2026-05-09 18:00 UTC,57,61.9,53.9,15.3,19.9,12.8,65
MedHab,Parker,2026-05-09 19:00 UTC,62.4,67.1,56.2,14.9,18.9,11,64
MedHab,Parker,2026-05-09 20:00 UTC,59.8,74,54.6,14.6,17.4,12.8,63
MedHab,Parker,2026-05-09 21:00 UTC,64.4,72.9,56.1,13.9,16.3,12.4,65
MedHab,Parker,2026-05-09 22:00 UTC,57.7,61.1,56,14.1,16.6,11.9,62
MedHab,Parker,2026-05-09 23:00 UTC,58.5,64.8,51.5,15.5,25.8,11.4,50
MedHab,Parker,2026-05-10 00:00 UTC,58.1,63.7,49.4,15.7,18,11.6,64
MedHab,Parker,2026-05-10 01:00 UTC,60.9,66,57.2,15.4,17.7,12.6,59
MedHab,Parker,2026-05-10 02:00 UTC,65.8,84.2,57.4,15.6,19.1,12.9,41
MedHab,Parker,2026-05-10 03:00 UTC,64.3,74,59.5,15.8,18,12.7,51
MedHab,Parker,2026-05-10 04:00 UTC,58.1,63.7,53,14.8,18.3,11.2,50
MedHab,Parker,2026-05-10 05:00 UTC,61.9,69.1,55.1,15.3,17.8,12.4,57
MedHab,Parker,2026-05-10 06:00 UTC,60.5,72,55.3,13.8,15.1,12,39
MedHab,Parker,2026-05-10 07:00 UTC,63.7,69.7,59.8,12.4,14.8,11.5,49
MedHab,Parker,2026-05-10 08:00 UTC,66.4,73,61.9,12.4,16,10.9,64
MedHab,Parker,2026-05-10 09:00 UTC,62.8,69.5,55,11.8,13.3,9.6,42
MedHab,Parker,2026-05-10 10:00 UTC,64.2,75.9,54.7,12.7,19.2,10.7,59
MedHab,Parker,2026-05-10 11:00 UTC,74.8,74.8,74.8,14.6,21.7,12.4,62
MedHab,Parker,2026-05-10 12:00 UTC,56.5,59.4,52,14.6,18.3,11.8,62
MedHab,Parker,2026-05-10 13:00 UTC,61.7,75.1,45.3,14.7,16.5,12.2,24
MedHab,Parker,2026-05-10 14:00 UTC,61.5,68.2,53.5,14.2,17.9,12.1,59
MedHab,Parker,2026-05-10 15:00 UTC,62.3,68.5,57.7,13,24.2,11,55
MedHab,Parker,2026-05-10 16:00 UTC,61.6,68.4,57.6,11.9,13.4,10.9,63
MedHab,Parker,2026-05-10 17:00 UTC,59.7,65,56.1,12.4,18,10.7,60
MedHab,Parker,2026-05-10 18:00 UTC,58,66.4,53,14.9,18.7,12.3,62
MedHab,Parker,2026-05-10 19:00 UTC,54.4,58.4,49.5,15,17.2,12.6,64
MedHab,Parker,2026-05-10 20:00 UTC,53.4,58.1,49.9,15.6,18.4,12.8,64
MedHab,Parker,2026-05-10 21:00 UTC,57.2,63,51.9,13.8,17.4,12.3,65
MedHab,Parker,2026-05-10 22:00 UTC,60.3,65.3,54.6,14.7,17.6,12.3,65
MedHab,Parker,2026-05-10 23:00 UTC,57.2,63.3,52.5,15.8,18.2,12.4,62
MedHab,Parker,2026-05-11 00:00 UTC,53.8,59.4,49.3,14.8,19.3,12.3,64
MedHab,Parker,2026-05-11 01:00 UTC,61.8,73.1,51.9,16.2,20.6,8.9,15
MedHab,Parker,2026-05-11 02:00 UTC,60.9,68,56.5,16.8,28.2,12.8,48
MedHab,Parker,2026-05-11 03:00 UTC,61.2,66.8,53.1,15.2,21.6,12.9,56
MedHab,Parker,2026-05-11 04:00 UTC,66.9,71.7,57.6,14.6,25.1,12.3,28
MedHab,Parker,2026-05-11 05:00 UTC,65.2,75.4,58.9,12.4,13.2,11.6,33
MedHab,Parker,2026-05-11 06:00 UTC,68.7,77.9,60.5,12.1,13,11.3,21
MedHab,Parker,2026-05-11 07:00 UTC,65.3,74.9,59.1,12.2,18.1,11.1,45
MedHab,Parker,2026-05-11 08:00 UTC,61.3,66,57.5,13.8,18,12,31
MedHab,Parker,2026-05-11 09:00 UTC,66.9,74.2,57.2,12.2,19.9,11,51
MedHab,Parker,2026-05-11 10:00 UTC,59.3,70.2,44.7,13.7,22,10.2,58
MedHab,Parker,2026-05-11 11:00 UTC,44.6,53.6,42.5,14.1,17.8,11.7,66
MedHab,Parker,2026-05-11 12:00 UTC,56.4,64.6,51.9,13.3,15.4,10.6,55
MedHab,Parker,2026-05-11 13:00 UTC,61.1,65.1,57.1,14,17.4,11.4,64
MedHab,Parker,2026-05-11 14:00 UTC,62,68.3,56.4,13.8,16.2,11.7,63
MedHab,Parker,2026-05-11 15:00 UTC,64.4,69.6,60.4,13.5,18.3,11.8,56
MedHab,Parker,2026-05-11 16:00 UTC,61.5,69.4,54.7,11.9,12.8,10.7,60
MedHab,Parker,2026-05-11 17:00 UTC,60,68,54.6,13.9,18,12,62
MedHab,Parker,2026-05-11 18:00 UTC,60.1,63.3,56.2,12.6,13.8,11.9,61
MedHab,Parker,2026-05-11 19:00 UTC,64.9,74.5,58,13.2,15.9,11.5,63
MedHab,Parker,2026-05-11 20:00 UTC,62.3,68.4,57.9,13.2,23.7,11.2,58
MedHab,Parker,2026-05-11 21:00 UTC,61.3,69.8,57,13.7,16.9,9.2,45
MedHab,Parker,2026-05-11 22:00 UTC,55.4,65.5,50.5,14.7,16.4,12.3,58
MedHab,Parker,2026-05-11 23:00 UTC,63.8,71.3,57.4,16,19.3,13.1,64
MedHab,Parker,2026-05-12 00:00 UTC,59.6,65.2,47.7,14.7,17.2,11.5,57
MedHab,Parker,2026-05-12 01:00 UTC,62.4,69.1,58.6,15.7,20.6,12.1,23
MedHab,Parker,2026-05-12 02:00 UTC,59.2,62.8,54.6,15.1,19.8,12.6,48
MedHab,Parker,2026-05-12 03:00 UTC,61.1,64.2,53.7,15.1,19.9,13,60
MedHab,Parker,2026-05-12 04:00 UTC,54.7,64,53.2,14.2,19.1,10.9,54
MedHab,Parker,2026-05-12 05:00 UTC,57.1,64,53.2,13,15.2,10.6,59
MedHab,Parker,2026-05-12 06:00 UTC,63.5,72.4,57.9,10.8,11.7,8.6,35
MedHab,Parker,2026-05-12 07:00 UTC,67.1,71.8,57.7,9.7,10.6,8.9,47
MedHab,Parker,2026-05-12 08:00 UTC,64.9,72.3,55.5,9.6,11.1,7.8,5
MedHab,Parker,2026-05-12 09:00 UTC,62.4,67.3,57.2,12,17.7,8.8,35
MedHab,Parker,2026-05-12 10:00 UTC,63.2,74.1,54.3,10.9,18.2,8.8,58
MedHab,Parker,2026-05-12 11:00 UTC,66.6,76.3,57.4,10.1,12.6,8.6,49
MedHab,Parker,2026-05-12 12:00 UTC,62.5,72.7,54,12.1,14.9,10.5,44
MedHab,Parker,2026-05-12 13:00 UTC,54.7,59,52.7,13.6,15.8,11.7,63
MedHab,Parker,2026-05-12 14:00 UTC,54.4,57.9,51.3,14.1,18.3,10.3,62
MedHab,Parker,2026-05-12 15:00 UTC,58.8,64.2,53.8,12.4,19.6,9.8,57
MedHab,Parker,2026-05-12 16:00 UTC,58.7,63.2,54.2,15.2,16.9,11.8,61
MedHab,Parker,2026-05-12 17:00 UTC,56.9,61.2,52.2,15.2,20.5,11.9,61
MedHab,Parker,2026-05-12 18:00 UTC,62.2,69.9,55,12.2,16.1,10.2,52
MedHab,Parker,2026-05-12 19:00 UTC,65.9,70.7,58.3,12.5,15.4,10.1,58
MedHab,Parker,2026-05-12 20:00 UTC,61.5,69.3,55.4,11.8,13.2,10.6,65
MedHab,Parker,2026-05-12 21:00 UTC,56.5,58.9,55,14.6,18.7,12.6,64
MedHab,Parker,2026-05-12 22:00 UTC,56.6,66.2,53.1,15.7,19.9,12.7,63
MedHab,Parker,2026-05-12 23:00 UTC,63.8,68.4,60.1,15.3,20.3,11.2,39
MedHab,Parker,2026-05-13 00:00 UTC,64.7,66.6,62.9,15.2,18.7,12.8,52
MedHab,Parker,2026-05-13 01:00 UTC,64.1,70,59.6,14.8,20.6,9.8,37
MedHab,Parker,2026-05-13 02:00 UTC,61.9,70.6,55.2,14.6,17.6,12.7,48
MedHab,Parker,2026-05-13 03:00 UTC,61.2,65.3,54.7,13.3,17.3,11.1,12
MedHab,Parker,2026-05-13 04:00 UTC,65.8,70.8,61.2,12.5,16.8,10.8,46
MedHab,Parker,2026-05-13 05:00 UTC,67.8,77.8,54.9,10.1,12.1,8.9,28
MedHab,Parker,2026-05-13 06:00 UTC,64.2,66.9,58.6,10.6,12.8,9.9,7
MedHab,Parker,2026-05-13 07:00 UTC,62.4,68.5,59.1,9.4,9.9,8.5,16
MedHab,Parker,2026-05-13 08:00 UTC,61.8,73.5,58,13.8,22.7,8.7,25
