Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Ransom,2026-04-01 00:00 UTC,62.6,66.7,59,18.7,26.8,14,49
MedHab,Ransom,2026-04-01 01:00 UTC,61.7,67.3,54.8,16.8,19.5,13.7,56
MedHab,Ransom,2026-04-01 02:00 UTC,59.7,63.3,54.1,15.3,21.4,13.9,62
MedHab,Ransom,2026-04-01 03:00 UTC,61.8,71.8,51.7,14.7,20,13,61
MedHab,Ransom,2026-04-01 04:00 UTC,63.4,70.4,58.6,14.3,17.3,12.6,62
MedHab,Ransom,2026-04-01 05:00 UTC,61.8,65.2,58.4,16.1,19.8,13.8,50
MedHab,Ransom,2026-04-01 06:00 UTC,55.3,65.6,48.5,16.6,23.1,12,62
MedHab,Ransom,2026-04-01 07:00 UTC,62.2,66.3,56.5,17.2,26,12.8,51
MedHab,Ransom,2026-04-01 08:00 UTC,63.1,70.8,56.3,13.8,16.8,12.1,55
MedHab,Ransom,2026-04-01 09:00 UTC,62.4,68.2,56.3,12.8,13.9,11.6,35
MedHab,Ransom,2026-04-01 10:00 UTC,63,80.1,57.2,13.6,18.9,11.7,40
MedHab,Ransom,2026-04-01 11:00 UTC,64.7,71.4,58,13.3,16.8,11,55
MedHab,Ransom,2026-04-01 12:00 UTC,63,70.9,56.4,15.9,24.3,11,40
MedHab,Ransom,2026-04-01 13:00 UTC,55.5,62,52.9,17.4,23,12.1,61
MedHab,Ransom,2026-04-01 14:00 UTC,55.3,60.3,48.9,17.5,29.1,13.3,58
MedHab,Ransom,2026-04-01 15:00 UTC,58.9,73.5,50.1,16.7,20.8,12.5,62
MedHab,Ransom,2026-04-01 16:00 UTC,57.5,65.4,52.6,18.2,26.8,14.3,59
MedHab,Ransom,2026-04-01 17:00 UTC,57,63.1,52.2,16.9,20.8,13.7,62
MedHab,Ransom,2026-04-01 18:00 UTC,59,63,54.9,17.7,24.7,13.1,55
MedHab,Ransom,2026-04-01 19:00 UTC,58.3,65,53.9,18.6,21.7,15.3,50
MedHab,Ransom,2026-04-01 20:00 UTC,60.9,70.6,54.6,15.5,27.9,11.2,57
MedHab,Ransom,2026-04-01 21:00 UTC,59.2,68.9,48.3,18.4,28.5,10.8,33
MedHab,Ransom,2026-04-01 22:00 UTC,58.3,64.2,53.2,17.2,20.4,13,62
MedHab,Ransom,2026-04-01 23:00 UTC,57.7,64.6,53.5,18.1,24.3,14.7,61
MedHab,Ransom,2026-04-02 00:00 UTC,56.2,64.3,50.3,16.9,20.4,12.5,61
MedHab,Ransom,2026-04-02 01:00 UTC,57.2,64.5,52.7,18.7,23,15.6,53
MedHab,Ransom,2026-04-02 02:00 UTC,59.5,65.3,54.4,18.1,22.2,14.1,58
MedHab,Ransom,2026-04-02 03:00 UTC,61.1,65.6,55.3,16.4,30.1,13.1,62
MedHab,Ransom,2026-04-02 04:00 UTC,59,70.7,53.3,15,21.5,12.9,61
MedHab,Ransom,2026-04-02 05:00 UTC,60.9,65.7,56.3,14.8,19.7,12.8,62
MedHab,Ransom,2026-04-02 06:00 UTC,62.1,66.7,58.3,14.8,17.1,13.3,55
MedHab,Ransom,2026-04-02 07:00 UTC,64.1,70.7,58.9,14.6,16,13,61
MedHab,Ransom,2026-04-02 08:00 UTC,62.4,70.4,57,15.5,19.8,12.9,56
MedHab,Ransom,2026-04-02 09:00 UTC,62.5,69.4,56.5,15,22.6,12.2,50
MedHab,Ransom,2026-04-02 10:00 UTC,60.2,68.5,56.5,13.8,16.1,11.6,60
MedHab,Ransom,2026-04-02 11:00 UTC,60,63.9,56.4,13.2,16.4,11.6,62
MedHab,Ransom,2026-04-02 12:00 UTC,60.1,65.1,56.4,15.2,26,11.2,48
MedHab,Ransom,2026-04-02 13:00 UTC,56.5,61.3,43.9,17.9,23.9,13.3,50
MedHab,Ransom,2026-04-02 14:00 UTC,58.2,66.2,44.5,17.7,21,15.3,62
MedHab,Ransom,2026-04-02 15:00 UTC,59.3,62.8,54.8,18.2,33.2,14.7,53
MedHab,Ransom,2026-04-02 16:00 UTC,60.5,64.3,57.3,17.7,35.7,8.2,42
MedHab,Ransom,2026-04-02 17:00 UTC,60.4,65.1,51.9,17.7,30.8,13.5,55
MedHab,Ransom,2026-04-02 18:00 UTC,58.2,66.2,49.7,18,23.7,12.7,60
MedHab,Ransom,2026-04-02 19:00 UTC,61.1,66.7,54.5,18.7,39.6,11.2,51
MedHab,Ransom,2026-04-02 20:00 UTC,61,66.2,57.8,13.9,20.6,11.9,46
MedHab,Ransom,2026-04-02 21:00 UTC,60.7,67.7,54.4,17.4,35.8,13.6,50
MedHab,Ransom,2026-04-02 22:00 UTC,58.7,64.9,52.4,17.7,24.2,13.2,58
MedHab,Ransom,2026-04-02 23:00 UTC,57.8,62,52,17.7,22.2,12.9,57
MedHab,Ransom,2026-04-03 00:00 UTC,58.7,67.3,53,17.5,20.9,14.2,61
MedHab,Ransom,2026-04-03 01:00 UTC,62.1,67.9,57.5,18.7,28.5,14.8,61
MedHab,Ransom,2026-04-03 02:00 UTC,60.8,70.7,55.7,18.2,27.5,14.7,46
MedHab,Ransom,2026-04-03 03:00 UTC,60.9,64.1,58.1,18.6,25.4,14.2,58
MedHab,Ransom,2026-04-03 04:00 UTC,60.4,66.5,52.9,15.5,23.8,11.9,59
MedHab,Ransom,2026-04-03 05:00 UTC,62.3,65.8,57.7,13.7,17.2,11.8,60
MedHab,Ransom,2026-04-03 06:00 UTC,59.8,64.3,56.8,13.8,16.3,12.5,42
MedHab,Ransom,2026-04-03 07:00 UTC,60.1,63.7,56.1,13.9,17.8,11.9,59
MedHab,Ransom,2026-04-03 08:00 UTC,60.5,66.3,58.8,13.7,18.4,12,37
MedHab,Ransom,2026-04-03 09:00 UTC,59.5,65.5,53.7,13.3,17.9,11.2,54
MedHab,Ransom,2026-04-03 10:00 UTC,60.5,68.9,55.4,13.5,16.7,11.4,46
MedHab,Ransom,2026-04-03 11:00 UTC,57.3,60.5,54.6,15.9,24.2,12.9,51
MedHab,Ransom,2026-04-03 12:00 UTC,63.9,74.2,58.5,16.1,19,10.7,15
MedHab,Ransom,2026-04-03 13:00 UTC,60,64.6,55.9,16.2,21.8,12.5,55
MedHab,Ransom,2026-04-03 14:00 UTC,58.2,61.6,51.8,17.1,21.6,11.9,53
MedHab,Ransom,2026-04-03 15:00 UTC,57.8,64.2,50.3,17.1,29.5,13.1,62
MedHab,Ransom,2026-04-03 16:00 UTC,60,66.2,53.3,19,34.9,12.5,56
MedHab,Ransom,2026-04-03 17:00 UTC,54.6,59.4,52.3,17.1,22.7,13.1,53
MedHab,Ransom,2026-04-03 18:00 UTC,62,76.5,56.1,13.4,21.5,11.8,54
MedHab,Ransom,2026-04-03 19:00 UTC,61.7,70.5,58.1,13.5,17.5,11.4,55
MedHab,Ransom,2026-04-03 20:00 UTC,59.9,63.1,57.4,17,27.1,12.8,57
MedHab,Ransom,2026-04-03 21:00 UTC,60.4,67.9,55,17.3,20,15.3,56
MedHab,Ransom,2026-04-03 22:00 UTC,57.7,63.5,52.3,17.1,21.2,11.2,45
MedHab,Ransom,2026-04-03 23:00 UTC,57.3,64.6,53.1,17.1,20,12.9,60
MedHab,Ransom,2026-04-04 00:00 UTC,56.7,64.4,50.7,17.5,22,14.5,56
MedHab,Ransom,2026-04-04 01:00 UTC,60.8,73.2,55.4,18,21.5,14.2,62
MedHab,Ransom,2026-04-04 02:00 UTC,60.6,66,54.9,18.3,23.6,14.4,61
MedHab,Ransom,2026-04-04 03:00 UTC,63.1,67.8,58.2,15.7,20.1,12.9,50
MedHab,Ransom,2026-04-04 04:00 UTC,61.3,66.9,57.5,15.8,19.8,12.9,47
MedHab,Ransom,2026-04-04 05:00 UTC,61.3,65.6,57.5,16.9,19.8,13.4,49
MedHab,Ransom,2026-04-04 06:00 UTC,57.8,61.7,55.8,14.4,18.5,11.2,47
MedHab,Ransom,2026-04-04 07:00 UTC,56.8,60.7,53.5,14,23.5,12.2,47
MedHab,Ransom,2026-04-04 08:00 UTC,58.8,64.9,55.2,13.7,18.5,12.5,49
MedHab,Ransom,2026-04-04 09:00 UTC,59.6,64.9,56.4,13.1,14,11.8,54
MedHab,Ransom,2026-04-04 10:00 UTC,64.3,67.3,60.6,13.7,23.5,11.4,34
MedHab,Ransom,2026-04-04 11:00 UTC,64.3,67.9,59.2,12.3,14.8,11,48
MedHab,Ransom,2026-04-04 12:00 UTC,58.1,62.8,49.9,13.3,18.7,11.1,52
MedHab,Ransom,2026-04-04 13:00 UTC,52.3,55.7,49.1,16.1,20.2,12.2,59
MedHab,Ransom,2026-04-04 14:00 UTC,57,72.2,51.2,16.4,21.5,13.3,60
MedHab,Ransom,2026-04-04 15:00 UTC,62.9,71.9,58,17,28.4,12.6,57
MedHab,Ransom,2026-04-04 16:00 UTC,60.6,68.4,52.4,16.2,20.7,11.7,47
MedHab,Ransom,2026-04-04 17:00 UTC,56.1,63.1,49,15.6,24.7,12.7,61
MedHab,Ransom,2026-04-04 18:00 UTC,62.3,65.8,57.9,15,25.9,11.6,45
MedHab,Ransom,2026-04-04 19:00 UTC,60,67.7,53.8,13.7,16.8,12.3,56
MedHab,Ransom,2026-04-04 20:00 UTC,61.4,68.9,56.5,15.3,24.2,12.6,58
MedHab,Ransom,2026-04-04 21:00 UTC,59.2,66.9,55.5,18,24.6,13.4,49
MedHab,Ransom,2026-04-04 22:00 UTC,55.3,59.3,51.9,17.2,25.5,13,62
MedHab,Ransom,2026-04-04 23:00 UTC,58.2,63,52.7,17.5,23.2,13.5,60
MedHab,Ransom,2026-04-05 00:00 UTC,56.9,62.4,53.1,18.2,25.1,14.6,57
