Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Ransom,2026-05-01 00:00 UTC,58.1,63.4,55,16.4,20.5,13.8,54
MedHab,Ransom,2026-05-01 01:00 UTC,61.9,72.6,55,16.9,19.7,13.8,61
MedHab,Ransom,2026-05-01 02:00 UTC,59.8,65.1,54,17.1,21.4,14,60
MedHab,Ransom,2026-05-01 03:00 UTC,61,67.9,56,16.8,20.1,14.1,61
MedHab,Ransom,2026-05-01 04:00 UTC,60.8,66.3,56.4,15.7,18.9,13.5,51
MedHab,Ransom,2026-05-01 05:00 UTC,61.8,71.1,55.8,15.3,35,12.6,61
MedHab,Ransom,2026-05-01 06:00 UTC,58.6,62.6,54.5,14.8,23.2,12.2,61
MedHab,Ransom,2026-05-01 07:00 UTC,63.1,72,57.7,13.6,19.1,11.6,53
MedHab,Ransom,2026-05-01 08:00 UTC,61.9,65.4,57.9,13.3,17.4,11.7,58
MedHab,Ransom,2026-05-01 09:00 UTC,63.3,66.9,59.6,13.2,16.6,10.9,49
MedHab,Ransom,2026-05-01 10:00 UTC,62.6,70.1,56.8,15.9,23.9,12.2,59
MedHab,Ransom,2026-05-01 11:00 UTC,59.6,65.6,55.8,14.9,26.2,11.3,59
MedHab,Ransom,2026-05-01 12:00 UTC,61.1,66.4,53.9,16.2,26.7,11.6,53
MedHab,Ransom,2026-05-01 13:00 UTC,57.5,66.3,52.1,16.4,20.6,12.2,61
MedHab,Ransom,2026-05-01 14:00 UTC,56.3,65.4,50.7,16.5,22.1,14,59
MedHab,Ransom,2026-05-01 15:00 UTC,56.9,63.9,53.3,16.8,20.6,14.1,61
MedHab,Ransom,2026-05-01 16:00 UTC,53.4,62,49.8,17.1,29.1,10.8,53
MedHab,Ransom,2026-05-01 17:00 UTC,56.9,62.8,51.7,16.1,22.4,13,62
MedHab,Ransom,2026-05-01 18:00 UTC,58.8,64.3,54.5,13.6,17.1,12.3,61
MedHab,Ransom,2026-05-01 19:00 UTC,63.5,72.6,55.6,14,20,12.8,60
MedHab,Ransom,2026-05-01 20:00 UTC,58.1,67,54.2,16.4,20.1,12.7,59
MedHab,Ransom,2026-05-01 21:00 UTC,58.3,64.8,51.2,18.2,31.6,14,62
MedHab,Ransom,2026-05-01 22:00 UTC,57.4,65.1,51.9,16.9,22.3,13.7,61
