Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Thornburg,2026-05-01 00:00 UTC,61.3,69,56.8,24,26.8,17.3,59
MedHab,Thornburg,2026-05-01 01:00 UTC,62.6,67.9,55.9,24.2,27.6,18,61
MedHab,Thornburg,2026-05-01 02:00 UTC,64,68.7,58.9,23.6,28.6,20.3,61
MedHab,Thornburg,2026-05-01 03:00 UTC,65,66.6,61.8,22.5,26.3,19.4,59
MedHab,Thornburg,2026-05-01 04:00 UTC,65.6,71.6,59.9,21.8,27.8,18.9,61
MedHab,Thornburg,2026-05-01 05:00 UTC,63,69.3,58.8,21.6,23.3,19.8,60
MedHab,Thornburg,2026-05-01 06:00 UTC,61.2,65.1,57,21.9,25.2,19.3,61
MedHab,Thornburg,2026-05-01 07:00 UTC,63.2,68.4,58.4,23.3,26.3,17.2,61
MedHab,Thornburg,2026-05-01 08:00 UTC,61.4,65.4,56.7,21.2,23.3,18.9,61
MedHab,Thornburg,2026-05-01 09:00 UTC,61.2,68.7,57.1,21.3,25.1,18.7,61
MedHab,Thornburg,2026-05-01 10:00 UTC,60.1,64.5,52.3,21.4,26.8,16,60
MedHab,Thornburg,2026-05-01 11:00 UTC,61.4,73.5,53.4,19.9,22.7,16.3,61
MedHab,Thornburg,2026-05-01 12:00 UTC,60.2,66.2,55.8,20.2,23,17.8,61
MedHab,Thornburg,2026-05-01 13:00 UTC,60.9,69.4,55.3,22.4,26.2,15.8,61
MedHab,Thornburg,2026-05-01 14:00 UTC,63,69.7,55.5,25.1,29.3,21.8,58
MedHab,Thornburg,2026-05-01 15:00 UTC,63.6,75.4,58.8,23.9,43.9,16.4,60
MedHab,Thornburg,2026-05-01 16:00 UTC,60.1,72.5,55.7,22.4,25,19.4,57
MedHab,Thornburg,2026-05-01 17:00 UTC,58.9,64.7,51.9,23.9,27.2,18.4,62
MedHab,Thornburg,2026-05-01 18:00 UTC,63.2,70.8,55.5,23.8,25.9,19.2,61
MedHab,Thornburg,2026-05-01 19:00 UTC,61.6,65.8,58.6,22.7,24.9,20.1,62
MedHab,Thornburg,2026-05-01 20:00 UTC,61.4,65.5,58.6,22.3,25.1,18,61
MedHab,Thornburg,2026-05-01 21:00 UTC,60,64.4,56.6,21.7,24.3,18.5,61
MedHab,Thornburg,2026-05-01 22:00 UTC,56.3,63.5,50.8,20.5,25.2,12.6,61
MedHab,Thornburg,2026-05-01 23:00 UTC,64.4,71.5,59.6,24.2,28.7,19.9,61
MedHab,Thornburg,2026-05-02 00:00 UTC,61.9,67.3,57,23.7,28.2,18.1,61
MedHab,Thornburg,2026-05-02 01:00 UTC,60.1,65.9,56.5,20.1,24.1,14.6,60
MedHab,Thornburg,2026-05-02 02:00 UTC,59.6,61.3,57.9,17.8,28.5,12.9,59
MedHab,Thornburg,2026-05-02 03:00 UTC,59.9,72.5,55.6,20.9,33.2,18.5,60
MedHab,Thornburg,2026-05-02 04:00 UTC,57.5,61.2,54.7,21.7,29.8,16.5,61
MedHab,Thornburg,2026-05-02 05:00 UTC,56.6,61.9,53.4,22,33.5,15.3,61
MedHab,Thornburg,2026-05-02 06:00 UTC,55.2,59.4,51.2,22.5,35.1,16,61
MedHab,Thornburg,2026-05-02 07:00 UTC,56.8,62.5,53.2,24,46.3,16.5,61
MedHab,Thornburg,2026-05-02 08:00 UTC,55.6,58.5,52.8,21.7,33.4,15.5,60
MedHab,Thornburg,2026-05-02 09:00 UTC,58.8,66.1,50.4,20,23.5,15.2,61
MedHab,Thornburg,2026-05-02 10:00 UTC,60.5,65.1,57.5,20.6,28.4,14.8,61
MedHab,Thornburg,2026-05-02 11:00 UTC,61.9,68.6,54.5,19.9,24.5,14.9,61
MedHab,Thornburg,2026-05-02 12:00 UTC,59.8,65.2,54,20.5,24,16.3,61
MedHab,Thornburg,2026-05-02 13:00 UTC,58.1,65.6,52.6,20.9,38.3,14.4,60
MedHab,Thornburg,2026-05-02 14:00 UTC,60.6,66.3,53.9,23.4,31.4,16.9,61
MedHab,Thornburg,2026-05-02 15:00 UTC,59.3,67.4,53.1,20.6,26.7,17.2,61
MedHab,Thornburg,2026-05-02 16:00 UTC,58.2,61.6,54.2,20.1,23.3,16.8,59
MedHab,Thornburg,2026-05-02 17:00 UTC,59.5,67.2,53.8,21,26.8,15.2,59
MedHab,Thornburg,2026-05-02 18:00 UTC,56.6,62.3,52.1,23.6,27.6,19.4,60
MedHab,Thornburg,2026-05-02 19:00 UTC,57.9,63.8,52.7,22.2,26.5,17.3,61
MedHab,Thornburg,2026-05-02 20:00 UTC,57,64.9,53,21.5,24.4,19.2,61
MedHab,Thornburg,2026-05-02 21:00 UTC,58.1,64.2,53.9,21.5,25.5,19.4,61
MedHab,Thornburg,2026-05-02 22:00 UTC,58.2,65.4,55.8,21.5,25.4,18.1,61
MedHab,Thornburg,2026-05-02 23:00 UTC,59.1,64.4,55.2,22.7,27.6,15.8,59
MedHab,Thornburg,2026-05-03 00:00 UTC,60.1,64.4,56.3,22.1,25.3,18.9,61
MedHab,Thornburg,2026-05-03 01:00 UTC,57.2,60.4,54.7,21.2,31,18.3,61
MedHab,Thornburg,2026-05-03 02:00 UTC,56.8,63.7,53.3,19.7,23.8,14.3,61
MedHab,Thornburg,2026-05-03 03:00 UTC,56.5,61.7,54.1,20,25.1,16.5,61
MedHab,Thornburg,2026-05-03 04:00 UTC,55.3,58.7,52.8,21.2,32.7,16.5,60
MedHab,Thornburg,2026-05-03 05:00 UTC,56,60.7,53.1,22.7,34.6,16.4,61
MedHab,Thornburg,2026-05-03 06:00 UTC,55,59.3,51.7,20.6,30.5,17.3,61
MedHab,Thornburg,2026-05-03 07:00 UTC,55,64.2,52,19.9,21.8,16.4,61
MedHab,Thornburg,2026-05-03 08:00 UTC,59.1,65.8,54.2,19.5,29.5,17,61
MedHab,Thornburg,2026-05-03 09:00 UTC,58.9,62.3,55.9,18.6,21.7,13.1,60
MedHab,Thornburg,2026-05-03 10:00 UTC,57.3,63.2,52.3,20.4,28.9,13.1,61
MedHab,Thornburg,2026-05-03 11:00 UTC,60.6,66.2,56.5,20,26.4,16.7,61
MedHab,Thornburg,2026-05-03 12:00 UTC,56.9,61.3,53.1,21.4,32.9,16.3,61
MedHab,Thornburg,2026-05-03 13:00 UTC,60.1,68.7,55.7,21.2,25.2,14.6,60
MedHab,Thornburg,2026-05-03 14:00 UTC,59.8,64.9,55.3,21.3,26.1,18.6,60
MedHab,Thornburg,2026-05-03 15:00 UTC,56.8,64.2,50.8,21.6,29.2,17.8,62
MedHab,Thornburg,2026-05-03 16:00 UTC,55.9,62.2,50.8,21.2,30.2,15.7,60
MedHab,Thornburg,2026-05-03 17:00 UTC,57.3,64.2,49.5,21.7,25.2,14.4,62
MedHab,Thornburg,2026-05-03 18:00 UTC,59.8,64,54.8,20.5,28.5,13.2,58
MedHab,Thornburg,2026-05-03 19:00 UTC,56.6,60.6,50.1,20.5,26.9,17.5,60
MedHab,Thornburg,2026-05-03 20:00 UTC,55.6,59.4,53.3,19.9,24.4,15.3,61
MedHab,Thornburg,2026-05-03 21:00 UTC,55.3,58.9,50.5,19.8,23.6,12.4,61
MedHab,Thornburg,2026-05-03 22:00 UTC,56.6,61.9,53.7,19.3,22.3,14,61
MedHab,Thornburg,2026-05-03 23:00 UTC,56.8,59.6,52.4,21,23.9,13.3,60
MedHab,Thornburg,2026-05-04 00:00 UTC,58.3,61,56,20.8,23.2,17.6,60
MedHab,Thornburg,2026-05-04 01:00 UTC,56.1,60.4,53,20.1,23.3,16.4,61
MedHab,Thornburg,2026-05-04 02:00 UTC,54.2,56.9,51.2,19.3,21.7,16.3,61
MedHab,Thornburg,2026-05-04 03:00 UTC,54.9,58.4,51.5,19.3,22,16.4,61
MedHab,Thornburg,2026-05-04 04:00 UTC,54.5,60.1,50.6,19.8,35.5,15.4,60
MedHab,Thornburg,2026-05-04 05:00 UTC,60.4,73.6,54.6,19.1,24.1,16.4,56
MedHab,Thornburg,2026-05-04 06:00 UTC,54.2,57.1,51.9,18.3,21.3,12.5,61
MedHab,Thornburg,2026-05-04 07:00 UTC,53,59.4,48.5,18.8,22.9,16.4,59
MedHab,Thornburg,2026-05-04 08:00 UTC,52.8,59.6,46.9,17.6,21.1,14.9,61
MedHab,Thornburg,2026-05-04 09:00 UTC,56.5,68.3,48.4,18.2,24.6,15.3,61
MedHab,Thornburg,2026-05-04 10:00 UTC,52.6,58.1,48.4,21.7,32.5,14.8,61
MedHab,Thornburg,2026-05-04 11:00 UTC,55.5,63.7,50.8,21,27.4,17.9,61
MedHab,Thornburg,2026-05-04 12:00 UTC,57.9,64.2,53.6,19.2,28.4,15.3,60
MedHab,Thornburg,2026-05-04 13:00 UTC,57.5,64.4,52.1,19.7,28,11.4,61
MedHab,Thornburg,2026-05-04 14:00 UTC,61.8,66.4,57.3,21,28.3,12.1,61
MedHab,Thornburg,2026-05-04 15:00 UTC,61.9,65.8,57.7,21.3,25.2,18.7,60
MedHab,Thornburg,2026-05-04 16:00 UTC,58.1,61,53.2,19.1,22.5,16.1,60
MedHab,Thornburg,2026-05-04 17:00 UTC,56.1,62.3,51.1,20.4,25.5,14.9,61
MedHab,Thornburg,2026-05-04 18:00 UTC,57.3,60.8,51.3,21.9,25.8,16.5,61
MedHab,Thornburg,2026-05-04 19:00 UTC,58,65.2,53.1,20.7,24.5,14.3,61
MedHab,Thornburg,2026-05-04 20:00 UTC,58.1,64.8,52.9,21.3,25.5,18.9,61
MedHab,Thornburg,2026-05-04 21:00 UTC,56.5,60,53.7,20.6,23.7,15.1,60
MedHab,Thornburg,2026-05-04 22:00 UTC,58.1,62.9,53.9,20.3,23.2,14.9,61
MedHab,Thornburg,2026-05-04 23:00 UTC,56,64.3,52,21.9,31.1,15.9,61
MedHab,Thornburg,2026-05-05 00:00 UTC,60.9,64.5,56.9,22.4,25.7,18,61
MedHab,Thornburg,2026-05-05 01:00 UTC,59.6,64.8,54.3,21.7,25.3,17.9,60
MedHab,Thornburg,2026-05-05 02:00 UTC,57,64,53.7,20,22.9,17.8,60
MedHab,Thornburg,2026-05-05 03:00 UTC,56.6,72.7,54.1,19,23.6,14.6,61
MedHab,Thornburg,2026-05-05 04:00 UTC,60,67.6,56.4,18.1,28.2,14.9,61
MedHab,Thornburg,2026-05-05 05:00 UTC,59.4,63.7,55.8,18.1,23.1,14.5,59
MedHab,Thornburg,2026-05-05 06:00 UTC,60.9,65.9,56.5,17.5,20.1,16,58
