Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Wheeler,2026-04-01 00:00 UTC,61.2,70.2,58.2,23,27.4,14.4,27
MedHab,Wheeler,2026-04-01 01:00 UTC,57.5,61.4,55.1,24.5,31.1,12,44
MedHab,Wheeler,2026-04-01 02:00 UTC,57.9,60.6,54.7,25.7,30.1,20.9,55
MedHab,Wheeler,2026-04-01 03:00 UTC,59.2,64.4,50.8,25.8,30.3,19.7,47
MedHab,Wheeler,2026-04-01 04:00 UTC,58.9,65.3,56.7,25.4,28.1,21.8,50
MedHab,Wheeler,2026-04-01 05:00 UTC,59.2,66,56.3,26.3,33.1,16.8,60
MedHab,Wheeler,2026-04-01 06:00 UTC,59.6,69.7,56.5,27.6,31.4,18.5,54
MedHab,Wheeler,2026-04-01 07:00 UTC,60.5,63.1,58,27.5,31,22.5,50
MedHab,Wheeler,2026-04-01 08:00 UTC,61.7,65.9,58.4,28.6,32.2,23.9,53
MedHab,Wheeler,2026-04-01 09:00 UTC,63.4,66.4,60.9,27.1,31.5,22.3,43
MedHab,Wheeler,2026-04-01 10:00 UTC,62.6,65.8,58.3,26.2,30.3,20.9,49
MedHab,Wheeler,2026-04-01 11:00 UTC,58.7,65.4,54.6,25.4,27.8,22.7,44
MedHab,Wheeler,2026-04-01 12:00 UTC,53.8,61.4,48.6,25.3,28.6,23.1,47
MedHab,Wheeler,2026-04-01 13:00 UTC,56.2,64,49.9,24.1,27.2,17.7,13
MedHab,Wheeler,2026-04-01 14:00 UTC,51.4,58.4,46.8,24.1,26.8,21.2,53
MedHab,Wheeler,2026-04-01 15:00 UTC,54.7,60,50.2,22.1,25.2,16.2,35
MedHab,Wheeler,2026-04-01 16:00 UTC,53.2,60.1,49.3,22.2,26.3,14.7,42
MedHab,Wheeler,2026-04-01 17:00 UTC,56.6,63.8,50.7,20.3,24.8,10.1,29
MedHab,Wheeler,2026-04-01 18:00 UTC,54.1,61.2,49,22.8,44.7,12.3,40
MedHab,Wheeler,2026-04-01 19:00 UTC,54.9,56.9,52.8,22.9,26.1,19.2,35
MedHab,Wheeler,2026-04-01 20:00 UTC,53.6,61.2,48.6,21.4,29,13.3,44
MedHab,Wheeler,2026-04-01 21:00 UTC,60,69.4,51.2,22.1,26.1,14.8,9
MedHab,Wheeler,2026-04-01 22:00 UTC,58.6,67.3,52.3,19,23.5,13.8,48
MedHab,Wheeler,2026-04-01 23:00 UTC,55.7,59.2,50.3,21.3,28.2,16.8,46
MedHab,Wheeler,2026-04-02 00:00 UTC,57.7,59.8,54.7,22.3,26.3,16.8,61
MedHab,Wheeler,2026-04-02 01:00 UTC,55.9,58.7,52.3,21.4,27.7,16.1,54
MedHab,Wheeler,2026-04-02 02:00 UTC,55.6,61.4,51.9,19.7,25.9,14.8,45
MedHab,Wheeler,2026-04-02 03:00 UTC,58.9,61,55.4,22.4,26.2,13,62
MedHab,Wheeler,2026-04-02 04:00 UTC,59.3,61.2,57,23.4,26.2,17.1,54
MedHab,Wheeler,2026-04-02 05:00 UTC,59.6,62.2,55.2,22.2,24.8,16.2,39
MedHab,Wheeler,2026-04-02 06:00 UTC,59.3,65.1,55.5,24.4,43.7,21.5,60
MedHab,Wheeler,2026-04-02 07:00 UTC,56.4,58.7,53.6,24.4,26,22,30
MedHab,Wheeler,2026-04-02 08:00 UTC,55.3,57.6,52.1,25.2,29.3,22.1,60
MedHab,Wheeler,2026-04-02 09:00 UTC,55.1,57.9,50.3,27.7,48.4,20.8,62
MedHab,Wheeler,2026-04-02 10:00 UTC,54.2,57.3,47.3,24,36,20.1,59
MedHab,Wheeler,2026-04-02 11:00 UTC,57.7,85.3,51.6,23,27.7,10.9,30
MedHab,Wheeler,2026-04-02 12:00 UTC,57.5,61,55.1,25,28.4,22.2,53
MedHab,Wheeler,2026-04-02 13:00 UTC,58.4,62.9,54.7,23.9,27,17.8,37
MedHab,Wheeler,2026-04-02 14:00 UTC,58.7,64.9,49.9,22.5,28.4,12.3,53
MedHab,Wheeler,2026-04-02 15:00 UTC,60.2,61.9,58.6,24,27.3,18.2,27
MedHab,Wheeler,2026-04-02 16:00 UTC,59.3,61.5,55.2,22.2,27.3,17.9,41
MedHab,Wheeler,2026-04-02 17:00 UTC,57.7,61.4,51.6,21.5,28.8,13,54
MedHab,Wheeler,2026-04-02 18:00 UTC,61.4,65.7,53.2,26.5,38.3,13.1,45
