Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Wheeler,2026-05-01 00:00 UTC,60.8,62.8,57.4,20,27.3,12,58
MedHab,Wheeler,2026-05-01 01:00 UTC,58.8,60.2,57,20.9,29.8,16.7,56
MedHab,Wheeler,2026-05-01 02:00 UTC,62.4,68,58.1,21.4,29,15,61
MedHab,Wheeler,2026-05-01 03:00 UTC,65.6,71.1,57.6,26.6,30.8,22.6,59
MedHab,Wheeler,2026-05-01 04:00 UTC,61.4,74.9,55.1,27.1,30.9,17.4,51
MedHab,Wheeler,2026-05-01 05:00 UTC,62.3,75.2,50.2,27.4,32.4,20.4,59
MedHab,Wheeler,2026-05-01 06:00 UTC,67.9,78.2,57.7,29.8,33.9,25.5,61
MedHab,Wheeler,2026-05-01 07:00 UTC,75.6,84.1,63.2,30.7,33.7,28.6,55
MedHab,Wheeler,2026-05-01 08:00 UTC,79.8,90.1,64.5,31.2,34.5,22.4,54
MedHab,Wheeler,2026-05-01 09:00 UTC,84.3,90.9,65.1,31.3,34.1,24.4,49
MedHab,Wheeler,2026-05-01 10:00 UTC,89.1,95.2,60.1,30.9,34.2,17.2,51
MedHab,Wheeler,2026-05-01 11:00 UTC,76.5,85.3,58.6,27.5,36,18.6,49
MedHab,Wheeler,2026-05-01 12:00 UTC,75.4,85,55.6,27.2,29.8,14.7,58
MedHab,Wheeler,2026-05-01 13:00 UTC,71.3,79.4,63.5,22.7,29.5,12.8,59
MedHab,Wheeler,2026-05-01 14:00 UTC,67.1,73,58.9,23.7,27.5,15.7,59
MedHab,Wheeler,2026-05-01 15:00 UTC,66.7,71,54.9,22.5,27.9,15,60
MedHab,Wheeler,2026-05-01 16:00 UTC,63.4,66.5,57.5,22.3,27.8,15.9,53
MedHab,Wheeler,2026-05-01 17:00 UTC,63.1,66.4,58,21.5,27.6,16.1,62
MedHab,Wheeler,2026-05-01 18:00 UTC,62.8,70.6,51.6,20.1,26.5,12.2,57
MedHab,Wheeler,2026-05-01 19:00 UTC,59.4,64.8,53.4,21.4,26.4,11.1,56
MedHab,Wheeler,2026-05-01 20:00 UTC,61.7,65.7,56.4,23.2,26.2,18,53
MedHab,Wheeler,2026-05-01 21:00 UTC,59,63.7,49.5,23.6,26.8,18.4,57
MedHab,Wheeler,2026-05-01 22:00 UTC,58.6,63.6,54.6,24,36.1,14,62
MedHab,Wheeler,2026-05-01 23:00 UTC,60.5,66.6,54.6,24.6,28.1,17.9,54
MedHab,Wheeler,2026-05-02 00:00 UTC,52.6,56.9,49.4,24.4,29.1,18.6,61
MedHab,Wheeler,2026-05-02 01:00 UTC,56.2,62.6,51.4,25.6,28.4,21.6,54
MedHab,Wheeler,2026-05-02 02:00 UTC,57.8,64.2,54.2,23.4,26.2,18.5,59
MedHab,Wheeler,2026-05-02 03:00 UTC,58.5,62.1,54.3,25,29,20.5,50
MedHab,Wheeler,2026-05-02 04:00 UTC,58.9,61.4,53.5,24.5,27.1,20.2,58
MedHab,Wheeler,2026-05-02 05:00 UTC,59.7,65.2,54.2,25,32.4,22,55
MedHab,Wheeler,2026-05-02 06:00 UTC,60.9,65,59.3,24.9,29,22.3,50
MedHab,Wheeler,2026-05-02 07:00 UTC,60.6,64.9,54.2,24.7,26.9,22.4,60
MedHab,Wheeler,2026-05-02 08:00 UTC,62.5,65.8,54.9,23.5,30.3,17.5,60
MedHab,Wheeler,2026-05-02 09:00 UTC,60.1,62.3,57.1,23.3,28.4,20.8,60
MedHab,Wheeler,2026-05-02 10:00 UTC,59.7,65.5,55.4,23.3,29.4,19.3,55
MedHab,Wheeler,2026-05-02 11:00 UTC,60.5,64.3,57.8,24.3,35.8,20.9,55
MedHab,Wheeler,2026-05-02 12:00 UTC,62.5,66.6,57.2,25.8,47.6,18.7,55
MedHab,Wheeler,2026-05-02 13:00 UTC,62.4,70.3,54.3,20.3,34.3,12.8,61
MedHab,Wheeler,2026-05-02 14:00 UTC,58.1,69.1,55.2,23.4,28.3,12.8,58
MedHab,Wheeler,2026-05-02 15:00 UTC,59.4,63.7,56.2,17.2,23.4,13.2,57
MedHab,Wheeler,2026-05-02 16:00 UTC,59.5,63.7,55.5,19.3,24.6,14.4,61
MedHab,Wheeler,2026-05-02 17:00 UTC,62,67.6,53.6,21.5,31.4,12.4,46
MedHab,Wheeler,2026-05-02 18:00 UTC,61.2,68.2,50.2,19.9,26.5,12.8,55
MedHab,Wheeler,2026-05-02 19:00 UTC,61.3,65.6,56.3,20.9,24.1,15.8,61
MedHab,Wheeler,2026-05-02 20:00 UTC,59.6,65.8,54.6,20.8,25.6,15.3,56
MedHab,Wheeler,2026-05-02 21:00 UTC,61.9,65.9,56.4,22.4,26.6,14.1,50
MedHab,Wheeler,2026-05-02 22:00 UTC,63.8,70,60.2,21.9,27.9,14.8,54
MedHab,Wheeler,2026-05-02 23:00 UTC,59.8,64.6,58.8,17.7,24.8,12.6,57
MedHab,Wheeler,2026-05-03 00:00 UTC,65.3,68.6,59.2,17.6,25.4,12.7,45
MedHab,Wheeler,2026-05-03 01:00 UTC,58.5,64.2,54,20.6,25.9,13.1,50
MedHab,Wheeler,2026-05-03 02:00 UTC,53.4,60,51.3,19.8,29.9,14.1,60
MedHab,Wheeler,2026-05-03 03:00 UTC,57,65.9,48.4,21.9,27.8,14.6,61
MedHab,Wheeler,2026-05-03 04:00 UTC,63,67.8,53.5,24.5,26.4,21.4,59
