Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Wilson,2026-04-08 10:00 UTC,61.4,61.6,60.3,13.5,15.6,12.3,7
MedHab,Wilson,2026-04-08 11:00 UTC,61.7,65.4,58.2,13.2,16.7,11.5,19
MedHab,Wilson,2026-04-08 12:00 UTC,59.2,61,56.1,12.4,14.4,11.5,18
MedHab,Wilson,2026-04-21 16:00 UTC,54.7,58.9,52.1,15.9,22.5,11.8,35
MedHab,Wilson,2026-04-21 17:00 UTC,52.1,55.6,48.6,16.4,22.4,12.8,61
MedHab,Wilson,2026-04-21 18:00 UTC,51.2,55.4,47.6,14.9,19.3,12.6,59
MedHab,Wilson,2026-04-21 19:00 UTC,55,64.7,51.1,15.8,21.9,11.2,61
MedHab,Wilson,2026-04-21 20:00 UTC,54,57.3,51.4,16,19.9,13.2,56
MedHab,Wilson,2026-04-21 21:00 UTC,51.8,54.9,50.7,17.2,19.8,14.9,6
MedHab,Wilson,2026-04-21 22:00 UTC,57.1,60.3,54.1,16.1,18.6,12.9,23
MedHab,Wilson,2026-04-21 23:00 UTC,56.5,59.4,53.8,17,20.9,13.4,28
MedHab,Wilson,2026-04-22 00:00 UTC,55.8,59.8,51.5,17.9,20.9,15,61
MedHab,Wilson,2026-04-22 01:00 UTC,56.1,61.8,50.6,16.5,19.1,12.6,61
MedHab,Wilson,2026-04-22 02:00 UTC,58.1,66.1,53,17.3,21,15.1,60
MedHab,Wilson,2026-04-22 03:00 UTC,58,71,49.5,16.5,19.5,12.5,62
MedHab,Wilson,2026-04-22 04:00 UTC,54.2,59.1,50.3,17,20.5,14.3,61
MedHab,Wilson,2026-04-22 05:00 UTC,56,62.1,52.8,16.9,20.2,14.8,58
MedHab,Wilson,2026-04-22 06:00 UTC,55.3,63.1,51.7,17,21,14.3,61
MedHab,Wilson,2026-04-22 07:00 UTC,59.4,65.5,53.8,16.6,19.8,14.7,60
MedHab,Wilson,2026-04-22 08:00 UTC,61.2,68.2,56.9,16.4,20.3,14,61
MedHab,Wilson,2026-04-22 09:00 UTC,60.4,66.3,55.8,15.9,18.9,13.7,61
MedHab,Wilson,2026-04-22 10:00 UTC,57.5,65.6,54.1,16.3,30.4,13.1,60
MedHab,Wilson,2026-04-22 11:00 UTC,56.7,65.9,50.7,16.8,31.5,13.4,59
MedHab,Wilson,2026-04-22 12:00 UTC,54.6,62.9,51,15.3,20,13.1,61
MedHab,Wilson,2026-04-22 13:00 UTC,53.8,56,50.7,16.5,24.9,13.1,57
MedHab,Wilson,2026-04-22 14:00 UTC,53.4,54.9,52.6,16.8,21.6,14.1,8
MedHab,Wilson,2026-04-22 15:00 UTC,60.7,68.2,56.2,17.4,22.8,12.9,21
MedHab,Wilson,2026-04-22 16:00 UTC,61.5,66.9,56.9,15.6,22.9,12.6,16
MedHab,Wilson,2026-04-22 17:00 UTC,52.7,62.1,47.6,15.1,20.1,12.6,50
MedHab,Wilson,2026-04-22 18:00 UTC,56.6,66,50.6,15.8,29.3,12.8,61
MedHab,Wilson,2026-04-22 19:00 UTC,61.1,67.8,52.5,17.5,29.6,12.8,60
MedHab,Wilson,2026-04-22 20:00 UTC,63.2,66.7,58.8,14.5,18,12.3,61
MedHab,Wilson,2026-04-22 21:00 UTC,61.2,67.2,57.8,15.4,30.2,13.4,61
MedHab,Wilson,2026-04-22 22:00 UTC,55.4,62.1,50.2,15.6,23.3,12.4,60
MedHab,Wilson,2026-04-22 23:00 UTC,55.8,60.2,50.8,16.8,20.3,13.9,61
MedHab,Wilson,2026-04-23 00:00 UTC,59.1,75.4,54.3,17.7,28.3,13.7,57
MedHab,Wilson,2026-04-23 01:00 UTC,55.3,58.8,50.3,14.1,16.6,12.3,60
MedHab,Wilson,2026-04-23 02:00 UTC,57,62.5,53.7,15.7,18.4,13.9,60
MedHab,Wilson,2026-04-23 03:00 UTC,62.4,68.6,56.5,15,16.3,13.5,61
MedHab,Wilson,2026-04-23 04:00 UTC,58.9,63.7,55,15.7,18.9,13.2,61
MedHab,Wilson,2026-04-23 05:00 UTC,58.3,63.2,54.9,15.6,19.7,12.6,60
MedHab,Wilson,2026-04-23 06:00 UTC,55,60,51.2,15.2,18,13.6,61
MedHab,Wilson,2026-04-23 07:00 UTC,54.8,60.7,51.6,14.7,19.9,12.2,60
