Company,Device,Hour (UTC),HR avg,HR max,HR min,RR avg,RR max,RR min,cnt
MedHab,Wilson,2026-05-01 00:00 UTC,56,60.6,51.7,16.5,21.2,13,60
MedHab,Wilson,2026-05-01 01:00 UTC,54.5,58.4,50.7,15.4,19.5,12.1,60
MedHab,Wilson,2026-05-01 02:00 UTC,55.9,59.4,51.8,16.9,20.6,12.8,61
MedHab,Wilson,2026-05-01 03:00 UTC,60,66.9,54.5,16.1,18.3,14,59
MedHab,Wilson,2026-05-01 04:00 UTC,57.8,61.3,55.2,15.9,18,13.5,60
MedHab,Wilson,2026-05-01 05:00 UTC,57.9,60.4,54.4,15,17.5,13.2,61
MedHab,Wilson,2026-05-01 06:00 UTC,58.4,65.8,52.1,14.5,16.8,12.4,62
MedHab,Wilson,2026-05-01 07:00 UTC,57.5,63.5,52.8,14.7,18.5,11.8,61
MedHab,Wilson,2026-05-01 08:00 UTC,54.4,62.4,49.5,13.1,15.4,12,60
MedHab,Wilson,2026-05-01 09:00 UTC,56,62.4,51.5,16.2,26.8,12,61
MedHab,Wilson,2026-05-01 10:00 UTC,56.2,64.2,53.2,14.3,19.6,12,60
MedHab,Wilson,2026-05-01 11:00 UTC,56.5,62.8,52.7,14.6,19.3,11.2,61
MedHab,Wilson,2026-05-01 12:00 UTC,59.9,71.1,55.4,13.9,18.3,11.5,61
MedHab,Wilson,2026-05-01 13:00 UTC,59.9,67.7,52.6,14.9,20.4,11.5,52
MedHab,Wilson,2026-05-01 14:00 UTC,55.1,59,53.9,19,24.5,13.5,18
MedHab,Wilson,2026-05-01 15:00 UTC,60.9,62.7,59.7,19.2,36.9,13.2,5
MedHab,Wilson,2026-05-01 16:00 UTC,56.3,57.1,55.6,19.1,25.2,15,4
MedHab,Wilson,2026-05-01 17:00 UTC,58.6,63.6,54.1,18.6,32.7,13.3,45
MedHab,Wilson,2026-05-01 18:00 UTC,55.9,61.4,50.8,14.9,17.4,12.3,62
MedHab,Wilson,2026-05-01 19:00 UTC,58.2,62.3,54.4,14.4,22.7,11.7,62
MedHab,Wilson,2026-05-01 20:00 UTC,59,64.9,53.9,14.7,18.5,12.4,62
MedHab,Wilson,2026-05-01 21:00 UTC,53.6,57.2,49.2,15.3,20.6,12.3,62
MedHab,Wilson,2026-05-01 22:00 UTC,59.9,64.6,52.6,16.9,24.8,13.1,61
MedHab,Wilson,2026-05-01 23:00 UTC,56.4,60.6,51.4,15.7,20.2,12,61
MedHab,Wilson,2026-05-02 00:00 UTC,50.7,56.5,48,16,21.7,13.4,60
